iso2,iso3,year,coup,coup_attempt,election_year
MX,MEX,2014,0,0,0
MX,MEX,2015,0,0,1
MX,MEX,2016,0,0,0
MX,MEX,2017,0,0,0
MX,MEX,2018,0,0,1
MX,MEX,2019,0,0,0
MX,MEX,2020,0,0,0
MX,MEX,2021,0,0,1
MX,MEX,2022,0,0,0
MX,MEX,2023,0,0,0
MX,MEX,2024,0,0,1
MX,MEX,2025,0,0,0
SR,SUR,2014,0,0,0
SR,SUR,2015,0,0,1
SR,SUR,2016,0,0,0
SR,SUR,2017,0,0,0
SR,SUR,2018,0,0,0
SR,SUR,2019,0,0,0
SR,SUR,2020,0,0,1
SR,SUR,2021,0,0,0
SR,SUR,2022,0,0,0
SR,SUR,2023,0,0,0
SR,SUR,2024,0,0,0
SR,SUR,2025,0,0,1
SE,SWE,2014,0,0,1
SE,SWE,2015,0,0,0
SE,SWE,2016,0,0,0
SE,SWE,2017,0,0,0
SE,SWE,2018,0,0,1
SE,SWE,2019,0,0,0
SE,SWE,2020,0,0,0
SE,SWE,2021,0,0,0
SE,SWE,2022,0,0,1
SE,SWE,2023,0,0,0
SE,SWE,2024,0,0,0
SE,SWE,2025,0,0,0
CH,CHE,2014,0,0,0
CH,CHE,2015,0,0,1
CH,CHE,2016,0,0,0
CH,CHE,2017,0,0,0
CH,CHE,2018,0,0,0
CH,CHE,2019,0,0,1
CH,CHE,2020,0,0,0
CH,CHE,2021,0,0,0
CH,CHE,2022,0,0,0
CH,CHE,2023,0,0,1
CH,CHE,2024,0,0,0
CH,CHE,2025,0,0,0
GH,GHA,2014,0,0,0
GH,GHA,2015,0,0,0
GH,GHA,2016,0,0,1
GH,GHA,2017,0,0,0
GH,GHA,2018,0,0,0
GH,GHA,2019,0,0,0
GH,GHA,2020,0,0,1
GH,GHA,2021,0,0,0
GH,GHA,2022,0,0,0
GH,GHA,2023,0,0,0
GH,GHA,2024,0,0,1
GH,GHA,2025,0,0,0
ZA,ZAF,2014,0,0,1
ZA,ZAF,2015,0,0,0
ZA,ZAF,2016,0,0,0
ZA,ZAF,2017,0,0,0
ZA,ZAF,2018,0,0,0
ZA,ZAF,2019,0,0,1
ZA,ZAF,2020,0,0,0
ZA,ZAF,2021,0,0,0
