iatiidentifier,donor_ref,donor,org_type,x1_donor_type,a01,a02,modality,declared_activity,declared_transaction,status_code,status_name,recipient_main,commitment_usd,disbursement_usd,n_disb_years,first_disb_year,last_disb_year,planned_start,actual_start,planned_end,actual_end,y2_early_days,planned_duration_days,budget_orig,n_budget_lines,budget_ccy,commitment_usd_full,disbursement_usd_full,n_disb_years_full,finance_type,finance_type_name,flow_type,flow_type_name,tied_status,collaboration_type,collaboration_type_name,hierarchy,cp_eligible,complete_flag,y1_gap,y1_gap_full
DE-1-200770347,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",10,Bilateral,1,0,A01_general,1,0,4,Closed,MW,0,569700.0000000001,1,2015,2016,2009-12-18,2009-12-18,2019-05-17,2019-05-17,0,3437,NA,NA,NA,569700,569700,2,110,Standard grant,10,ODA,3,1,Bilateral,1,1,1,NA,0
DE-1-200970418,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",10,Bilateral,1,0,A01_general,1,0,4,Closed,MW,0,3670476.194736,1,2016,2018,2010-10-01,2010-10-01,2019-05-17,2019-05-17,0,3150,NA,NA,NA,3670476.194736,3670476.194736,3,110,Standard grant,10,ODA,3,1,Bilateral,1,1,1,NA,0
46002-P-NA-HAA-006,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,NA,NA,NA,NA,NA,NA,2024-12-18,2025-04-07,NA,NA,NA,NA,NA,NA,NA,89198107.57153106,0,0,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,0,0,NA,1
DE-1-200970012,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",10,Bilateral,1,0,A01_general,1,0,4,Closed,MZ,0,226630.727658,1,2014,2014,2010-06-29,2010-06-29,2015-04-24,2015-04-24,0,1760,NA,NA,NA,3418200,3418200.0000000005,3,110,Standard grant,10,ODA,3,1,Bilateral,1,1,1,NA,-2.220446049250313e-16
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SC,9910861.722223956,9617207.60719657,1,2020,2020,2020-06-22,2020-06-30,2021-06-30,2021-06-30,0,373,NA,NA,NA,9910861.722223956,9617207.60719657,1,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,0.02962952397659846,0.02962952397659846
DE-1-201265248,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",10,Bilateral,1,0,A01_general,1,0,4,Closed,MZ,0,5697000,1,2014,2014,2013-11-08,2013-11-08,2015-04-24,2015-04-24,0,532,NA,NA,NA,5697000,5697000,1,110,Standard grant,10,ODA,3,1,Bilateral,1,1,1,NA,0
DE-1-201270370,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",10,Bilateral,1,0,A01_general,1,0,4,Closed,MZ,0,5127300,1,2014,2016,2013-11-08,2013-11-08,2016-04-29,2016-04-29,0,903,NA,NA,NA,9115200,9115200,3,110,Standard grant,10,ODA,3,1,Bilateral,1,1,1,NA,0
DE-1-201366632,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",10,Bilateral,1,0,A01_general,1,0,4,Closed,MZ,0,12533400,1,2014,2014,2013-11-08,2013-11-08,2015-04-24,2015-04-24,0,532,NA,NA,NA,12533400,12533400,1,110,Standard grant,10,ODA,3,1,Bilateral,1,1,1,NA,0
46002-P-SC-K00-004,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SC,0,9309483.894240225,1,2014,2014,2013-12-03,2013-12-06,2014-12-31,2014-12-31,0,393,NA,NA,NA,19767980.206317544,18115348.89145343,2,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,NA,0.0836014250123519
46002-P-SC-KA0-001,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SC,NA,NA,NA,NA,NA,2009-07-20,2009-08-25,2011-06-30,2011-06-30,0,710,NA,NA,NA,17467153.39019022,17907238.200884994,2,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,NA,-0.025194993188869086
46002-P-SC-K00-005,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SC,9910861.722223956,9651087.160821635,1,2015,2016,2015-09-23,2015-11-09,2016-06-30,2016-06-30,0,281,NA,NA,NA,9910861.722223956,9651087.160821635,1,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,0.026211097347852874,0.026211097347852874
46002-P-SC-K00-022,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SC,19821723.458008945,19174835.525022134,1,2021,2021,2021-07-07,2021-08-17,2024-12-31,2024-04-24,251,1273,NA,NA,NA,19821723.458008945,19174835.525022134,1,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1,1,1,0.032635302089508045,0.032635302089508045
46002-P-SC-K00-023,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SC,24777154.32590144,25802817.73837244,1,2022,2023,2022-12-01,2022-12-12,2024-08-31,2024-04-24,129,639,NA,NA,NA,24777154.32590144,25802817.73837244,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,1,1,-0.041395529082159266,-0.041395529082159266
46002-P-SC-K00-024,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SC,32705843.70639281,0,0,NA,NA,2023-11-17,2023-12-11,2024-12-31,2024-04-24,251,410,NA,NA,NA,32705843.70639281,33576651.7947348,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,1,1,1,-0.026625458623217746
46002-P-SC-K00-025,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,2,Implementation,SC,NA,NA,NA,NA,NA,2024-09-27,2024-10-30,2025-12-31,NA,NA,460,NA,NA,NA,24678498.047889434,25802817.751933467,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,1,0,NA,-0.04555867629635535
46002-P-SC-K00-028,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,2,Implementation,SC,NA,NA,NA,NA,NA,2025-07-16,2025-08-21,2026-12-31,NA,NA,533,NA,NA,NA,24777154.32590144,24816289.782982808,1,NA,NA,NA,NA,NA,2,Multilateral (inflows),1,1,0,NA,-0.0015794976520147053
