iati_identifier,url,url_resolved,domain,status,http_code,content_type,bytes,sha1,path,ts,note
XM-DAC-46004-37393-032-GRNT0067,https://www.adb.org/sites/default/files/project-document/66372/37393-afg-grg.pdf,https://www.adb.org/sites/default/files/project-document/66372/37393-afg-grg.pdf,adb.org,http_403,403,text/html,NA,NA,NA,2026-08-19 19:26:26,
46002-P-AO-K00-007,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fangola_-_economic_diversification_support_program_edsp_-_project_appraisal_report.pdf#page=12&zoom=auto,-13,432",https://www.afdb.org/sites/default/files/documents/projects-and-operations/angola_-_economic_diversification_support_program_edsp_-_project_appraisal_report.pdf#page=12,afdb.org,ok,200,application/pdf,1003166,de471a7d04fb342b77ff2249ef81e2bb40bca596,C:/Users/gaspa/OneDrive/Escritorio/EA Demo/projects/thesis-proposal/data/raw/documents/de471a7d04fb342b77ff2249ef81e2bb40bca596.pdf,2026-08-19 19:26:26,
AU-5-INJ648-ID,http://dfat.gov.au/about-us/publications/corporate/annual-reports/ausaid-annual-report-2012-13/chapter_2_report_on_performance/casestudy_new_school_opens_a_new_chapter_for_parung_children.html,http://dfat.gov.au/about-us/publications/corporate/annual-reports/ausaid-annual-report-2012-13/chapter_2_report_on_performance/casestudy_new_school_opens_a_new_chapter_for_parung_children.html,dfat.gov.au,error,NA,NA,NA,NA,NA,2026-08-19 19:26:26,connection failed
44000-P146280,http://documents.worldbank.org/curated/en/263451468196164854/pdf/ICR3402-P146280-Box394858B-PUBLIC-disclosed-2-10-16.pdf,http://documents.worldbank.org/curated/en/263451468196164854/pdf/ICR3402-P146280-Box394858B-PUBLIC-disclosed-2-10-16.pdf,documents.worldbank.org,ok,200,application/pdf,528025,2cbc610dcff674aeebe38726bcf7ca84a0191ddb,C:/Users/gaspa/OneDrive/Escritorio/EA Demo/projects/thesis-proposal/data/raw/documents/2cbc610dcff674aeebe38726bcf7ca84a0191ddb.pdf,2026-08-19 19:26:28,
XI-IATI-EC_INTPA-2023-ACT-61831,https://ec.europa.eu/transparency/documents-register/detail?ref=C(2023)7868,NA,ec.europa.eu,unresolvable,NA,NA,NA,NA,NA,2026-08-19 19:26:29,no pdf link found
46002-P-MA-I00-010,https://esa.afdb.org/sites/default/files/MAROC_PROGRAMME%20D%E2%80%99APPUI%20A%20L%E2%80%99AMELIORATION%20DE%20LA%20PROTECTION%20SOCIALE%20%28PAAPS%29_ESES_P-MA-I00-%20010.pdf,https://esa.afdb.org/sites/default/files/MAROC_PROGRAMME%20D%E2%80%99APPUI%20A%20L%E2%80%99AMELIORATION%20DE%20LA%20PROTECTION%20SOCIALE%20%28PAAPS%29_ESES_P-MA-I00-%20010.pdf,esa.afdb.org,error,NA,NA,NA,NA,NA,2026-08-19 19:26:29,connection failed
46002-P-BW-K00-004,https://evrd.afdb.org/documents/docs/PN11213_SR_EN.pdf,https://evrd.afdb.org/documents/docs/PN11213_SR_EN.pdf,evrd.afdb.org,ok,200,application/pdf,513650,28f72c1eb8993faee0ab919c90d6517d0d48bf29,C:/Users/gaspa/OneDrive/Escritorio/EA Demo/projects/thesis-proposal/data/raw/documents/28f72c1eb8993faee0ab919c90d6517d0d48bf29.pdf,2026-08-19 19:26:29,
XI-IATI-IADB-BA-L1056,https://www.iadb.org/document.cfm?id=EZIDB0000366-2056220512-9253,https://www.iadb.org/document.cfm?id=EZIDB0000366-2056220512-9253,iadb.org,ok,200,application/pdf,1070330,078346bd45e3ec787c1649f7fb1dcec89717b7da,C:/Users/gaspa/OneDrive/Escritorio/EA Demo/projects/thesis-proposal/data/raw/documents/078346bd45e3ec787c1649f7fb1dcec89717b7da.pdf,2026-08-19 19:26:30,
46002-P-BI-KA0-001,http://idev.afdb.org/sites/default/files/documents/files/IDEV_Evaluation%20Report%202016_F_Burundi_English_Web.pdf,http://idev.afdb.org/sites/default/files/documents/files/IDEV_Evaluation%20Report%202016_F_Burundi_English_Web.pdf,idev.afdb.org,http_404,404,text/html,NA,NA,NA,2026-08-19 19:26:32,
XI-IATI-EC_INTPA-2008-ACT-D-20972-01,https://international-partnerships.ec.europa.eu/publications/evaluation-de-lappui-budgetaire-au-burkina-faso-entre-2009-et-2014-2015_fr,https://international-partnerships.ec.europa.eu/document/download/b19da501-fd64-409e-9a0b-4a35f0644dc2_en?filename=evaluation-report-2015-f-1110-burkina-faso-redacted_fr.pdf&prefLang=fr,international-partnerships.ec.europa.eu,ok,200,application/pdf,3331578,d65b0699ef686e0b3a57fabaf353874cff7a47d6,C:/Users/gaspa/OneDrive/Escritorio/EA Demo/projects/thesis-proposal/data/raw/documents/d65b0699ef686e0b3a57fabaf353874cff7a47d6.pdf,2026-08-19 19:26:32,
XM-DAC-701-8-202210509,https://www.jica.go.jp/information/press/2023/__icsFiles/afieldfile/2023/07/10/Jizen_1.pdf,https://www.jica.go.jp/information/press/2023/__icsFiles/afieldfile/2023/07/10/Jizen_1.pdf,jica.go.jp,ok,200,application/pdf,414431,b1dac5690a670e5304ddeca1bd642d754f624992,C:/Users/gaspa/OneDrive/Escritorio/EA Demo/projects/thesis-proposal/data/raw/documents/b1dac5690a670e5304ddeca1bd642d754f624992.pdf,2026-08-19 19:26:34,
DE-1-201165281,https://www.kfw-entwicklungsbank.de/Internationale-Finanzierung/KfW-Entwicklungsbank/Projekte/Projektdatenbank/index.jsp,https://www.kfw-entwicklungsbank.de/Internationale-Finanzierung/KfW-Entwicklungsbank/Projekte/Projektdatenbank/index.jsp,kfw-entwicklungsbank.de,not_pdf,200,text/html,34937,NA,NA,2026-08-19 19:26:36,
NZ-1-ACT-0100978,https://www.mfat.govt.nz/assets/Aid/IATI/ACT-0100978.pdf,https://www.mfat.govt.nz/assets/Aid/IATI/ACT-0100978.pdf,mfat.govt.nz,ok,200,application/pdf,436978,1f265aa2c39b2241433680a197035a49582cb8c0,C:/Users/gaspa/OneDrive/Escritorio/EA Demo/projects/thesis-proposal/data/raw/documents/1f265aa2c39b2241433680a197035a49582cb8c0.pdf,2026-08-19 19:26:37,
XM-DAC-41111-98569,http://mptf.undp.org/factsheet/fund/4SO00,http://mptf.undp.org/factsheet/fund/4SO00,mptf.undp.org,not_pdf,200,text/html,168643,NA,NA,2026-08-19 19:26:39,
XM-DAC-6-4-011389-02-2,https://openaid.aics.gov.it/activity_attachment/5982%20-%20011389_Scheda_Ambientale.pdf,https://openaid.aics.gov.it/activity_attachment/5982%20-%20011389_Scheda_Ambientale.pdf,openaid.aics.gov.it,ok,200,application/pdf,271369,6c0b275d58419bfbe170b2cd99c613b688049d5c,C:/Users/gaspa/OneDrive/Escritorio/EA Demo/projects/thesis-proposal/data/raw/documents/6c0b275d58419bfbe170b2cd99c613b688049d5c.pdf,2026-08-19 19:26:55,
BJ-IFU-6201810251129-RGS0123375-29295,http://rsr.akvo.org/media/db/project/6714/document/Rapport%20analytique%20des%20communes%202018.pdf,http://rsr.akvo.org/media/db/project/6714/document/Rapport%20analytique%20des%20communes%202018.pdf,rsr.akvo.org,ok,200,application/pdf,944140,c53d7082bfaf6a7dfedc20d36b3a287e0b76c4af,C:/Users/gaspa/OneDrive/Escritorio/EA Demo/projects/thesis-proposal/data/raw/documents/c53d7082bfaf6a7dfedc20d36b3a287e0b76c4af.pdf,2026-08-19 19:26:56,
BJ-IFU-6201200579608-RSG0123375-29295,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6697/document/Pobe_rapport_narratif.pdf,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6697/document/Pobe_rapport_narratif.pdf,storage.googleapis.com,ok,200,application/pdf,960664,66e49c08f6df576b7f90ddc5815507c63230ff3d,C:/Users/gaspa/OneDrive/Escritorio/EA Demo/projects/thesis-proposal/data/raw/documents/66e49c08f6df576b7f90ddc5815507c63230ff3d.pdf,2026-08-19 19:26:56,
XI-IATI-NSO-G4AW16001,https://timetickets.co.tz/iw2020dar/attendee/stevengajadin,https://timetickets.co.tz/iw2020dar/attendee/stevengajadin,timetickets.co.tz,http_404,404,text/html,NA,NA,NA,2026-08-19 19:26:56,
CA-3-D000301001,http://w05.international.gc.ca/projectbrowser-banqueprojets/project-projet/details/D000301001?Lang=eng,http://w05.international.gc.ca/projectbrowser-banqueprojets/project-projet/details/D000301001?Lang=eng,w05.international.gc.ca,error,NA,NA,NA,NA,NA,2026-08-19 19:26:57,connection failed
XM-DAC-701-8-201903815,https://www2.jica.go.jp/ja/evaluation/pdf/2023_JO-C11_1_s.pdf,https://www2.jica.go.jp/ja/evaluation/pdf/2023_JO-C11_1_s.pdf,www2.jica.go.jp,ok,200,application/pdf,410333,d813527842784ca35b3ecda9b3df29791292b74a,C:/Users/gaspa/OneDrive/Escritorio/EA Demo/projects/thesis-proposal/data/raw/documents/d813527842784ca35b3ecda9b3df29791292b74a.pdf,2026-08-19 19:27:18,
XM-DAC-46004-43087-013-LN2529,https://www.adb.org/sites/default/files/project-documents//43087-arm-sfg.pdf; https://www.adb.org/sites/default/files/project-documents/43087/43087-013-sfj-a.pdf,NA,NA,unresolvable,NA,NA,NA,NA,NA,2026-08-19 19:27:21,bad url
XM-DAC-46004-43087-013-LN2529,https://www.adb.org/sites/default/files/project-documents//43087-arm-rrp.pdf,https://www.adb.org/sites/default/files/project-documents//43087-arm-rrp.pdf,adb.org,http_403,403,text/html,NA,NA,NA,2026-08-19 19:27:21,
46002-P-AO-K00-007,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fangola_-_programme_dappui_a_la_diversification_de_leconomie_pade_-_rapport_devaluation_du_projet.pdf#page=1&zoom=auto,-13,842",https://www.afdb.org/sites/default/files/documents/projects-and-operations/angola_-_programme_dappui_a_la_diversification_de_leconomie_pade_-_rapport_devaluation_du_projet.pdf#page=1,afdb.org,ok,200,application/pdf,1281024,3e49748f21ed438548b955945fe91a5e7e4070d3,C:/Users/gaspa/OneDrive/Escritorio/EA Demo/projects/thesis-proposal/data/raw/documents/3e49748f21ed438548b955945fe91a5e7e4070d3.pdf,2026-08-19 19:27:21,
AU-5-INI950-NR,http://dfat.gov.au/about-us/publications/corporate/annual-reports/ausaid-annual-report-2012-13/chapter_2_report_on_performance/casestudy_supporting_education_standards_in_nauru.html,http://dfat.gov.au/about-us/publications/corporate/annual-reports/ausaid-annual-report-2012-13/chapter_2_report_on_performance/casestudy_supporting_education_standards_in_nauru.html,dfat.gov.au,error,NA,NA,NA,NA,NA,2026-08-19 19:27:21,connection failed
