iatiidentifier,donor_ref,donor,org_type,x1_donor_type,a01,a02,modality,declared_activity,declared_transaction,status_code,status_name,title
44000-P101177,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,Second Results and Accountability (REACT) Development Policy Loan-Deferred Drawdawn Option
44000-P101471,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,Peru First Progrmmatic Environmental Development Policy Loan /DDO
44000-P110836,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,Tanzania Poverty Reduction Support Credit 10
44000-P111926,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,Costa Rica Catastrophe Deferred Draw Down Option (CAT DDO)
44000-P112346,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,Affordable Mortgage Finance DPL
44000-P120536,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,Tanzania Poverty Reduction Support Credit 11
44000-P120566,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,Morocco First Skills and Employment DPL
44000-P120860,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,Catastrophe Development Policy Loan DDO
44000-P122667,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,Vietnam Climate Change Development Policy
44000-P122738,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,Disaster Risk Management Development Policy Loan with a CAT DDO
44000-P122793,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,Economic Management Competitiveness Credit 1
44000-P123352,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,Nigeria Lagos Second State Development Policy Credit
44000-P123353,44000,EN: World Bank,40,Multilateral,0,1,A02_sector,1,0,3,Finalisation,Nigeria Edo State First Development Policy Operation
