iatiidentifier,budget_orig,n_budget_lines,budget_ccy
44000-P101177,-248265705.46,100,USD
44000-P101471,25478167.96,100,USD
44000-P110836,-127233478.16,4,USD
44000-P111926,23994277.780000005,102,USD
44000-P112346,115372502.37999998,100,USD
44000-P120536,-151652121.42,4,USD
44000-P120566,-109850185.26,4,USD
44000-P120860,0,98,USD
44000-P122667,-51726041.3,100,USD
44000-P122738,18441603.18,4,USD
44000-P122793,-201931923.28,4,USD
44000-P123352,-236656431.2,4,USD
44000-P123353,-122311123.14,4,USD
44000-P124041,-22809395.92,4,USD
44000-P124174,-112828014.14,100,USD
44000-P125202,-6713708.32,4,USD
44000-P125272,-83132311.62,4,USD
44000-P125694,-2280134.96,4,USD
44000-P125943,-353112247.64,100,USD
44000-P126034,-48033464.46,4,USD
44000-P126038,-39043473.12,4,USD
44000-P126274,-46768246.14,4,USD
44000-P126297,117996604.42,4,USD
44000-P126351,-557813633.84,4,USD
44000-P126470,-52812923.88,4,USD
44000-P126580,-1745166972.5,4,USD
44000-P126583,-431448750,220,USD
44000-P126749,-135751580.56,4,USD
44000-P126903,-5512777.46,4,USD
44000-P127038,-194799077.82,4,USD
44000-P127201,-52888861.14,4,USD
44000-P127332,-12722631.4,4,USD
44000-P127408,-114541236.82,100,USD
44000-P127411,-27295375.9,4,USD
44000-P127433,-853506449.54,4,USD
44000-P127449,-89150618.86,4,USD
44000-P127665,-341713910.64,100,USD
44000-P127754,-56029284.86,4,USD
44000-P127787,-711630403.78,4,USD
44000-P127822,-235920770.92,100,USD
44000-P127955,-162438123.86,100,USD
44000-P127956,-400401191.36,4,USD
44000-P128140,321648.5,4,USD
44000-P128251,-577813022.1,4,USD
44000-P128258,-725465190.62,4,USD
44000-P128284,-93870916.18,4,USD
44000-P128434,-83844518.94,4,USD
44000-P129489,-84922735.56,4,USD
44000-P129597,-40417428.74,4,USD
44000-P129652,-78406800.56,4,USD
44000-P130012,-175990690.98,4,USD
44000-P130048,501326510.78,4,USD
44000-P130051,-1787321738.82,4,USD
44000-P130459,-1098967860.74,4,USD
44000-P130847,-42995938.7,100,USD
44000-P130903,-270573461.52,4,USD
44000-P130972,-216060166.68,4,USD
44000-P131028,6471366.74,4,USD
44000-P131212,-195710999.68,4,USD
44000-P131440,61160407.92,100,USD
44000-P131688,-7703900,100,USD
44000-P131763,-86528536.5,100,USD
44000-P131775,-58121359.56,4,USD
44000-P132208,-23505230.2,4,USD
44000-P132510,-7898397.42,4,USD
44000-P132709,-332011787.42,4,USD
44000-P132757,-86273360.7,4,USD
44000-P132768,-397776652.68,4,USD
44000-P132786,-35538246,4,USD
44000-P133107,-181256,100,USD
44000-P133664,-186936395.08,4,USD
44000-P133687,-41571602.94,4,USD
44000-P133738,-349417279.6,100,USD
44000-P133798,-154780961.34,4,USD
44000-P143040,-92597889.78,4,USD
44000-P143060,-52529161.06,4,USD
44000-P143283,-34480564.42,4,USD
44000-P143645,-168931983.28,4,USD
44000-P143781,-104452750.18,4,USD
44000-P144185,-118757661.3,4,USD
44000-P144601,-9839963.58,4,USD
44000-P144602,-10558687.78,4,USD
44000-P144675,-182292020.62,100,USD
44000-P145251,-139941092.1,4,USD
44000-P145254,-178258956.3,4,USD
44000-P145275,-97859870.36,4,USD
44000-P145488,-6166840,4,USD
44000-P145605,-812877666.7,4,USD
44000-P145766,-1033206611.16,4,USD
44000-P145995,-102999598.04,4,USD
44000-P146095,-207310722.44,4,USD
44000-P146243,-1224970690.2,4,USD
44000-P146280,-116128588.48,4,USD
44000-P146322,-431534016.44,4,USD
44000-P146398,-83078225.6,100,USD
44000-P146452,-131160251.76,4,USD
44000-P146537,-190336140.8,4,USD
44000-P146640,-187793668.88,4,USD
44000-P146665,-31153017.78,4,USD
44000-P146726,-59860304,4,USD
44000-P146740,-62601652.36,100,USD
44000-P146930,-73995448.54,4,USD
44000-P146942,-42190450.72,4,USD
44000-P146981,-113533085.72,4,USD
44000-P147015,-18287904.86,4,USD
44000-P147152,-26576143.42,4,USD
44000-P147226,-141192372.92,4,USD
44000-P147244,74781626.04,100,USD
44000-P147257,-398167515.62,4,USD
44000-P147454,-48342262.82,4,USD
44000-P147557,-483404017,4,USD
44000-P147695,-493657801,4,USD
44000-P147803,-314058966.86,4,USD
44000-P147806,-24494424.26,4,USD
44000-P147913,-166604305.66,4,USD
44000-P147979,-151900585.46,4,USD
44000-P147984,-339184979.08,4,USD
44000-P148083,-272214972.34,4,USD
44000-P148099,-41387390.46,4,USD
44000-P148642,-126663341.28,4,USD
