iatiidentifier,finance_type,finance_type_name,flow_type,flow_type_name,tied_status,collaboration_type,collaboration_type_name,hierarchy
DE-1-200770347,110,Standard grant,10,ODA,3,1,Bilateral,1
DE-1-200970418,110,Standard grant,10,ODA,3,1,Bilateral,1
46002-P-NA-HAA-006,,,,,,2,Multilateral (inflows),1
DE-1-200970012,110,Standard grant,10,ODA,3,1,Bilateral,1
46002-P-SC-K00-015,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
DE-1-201265248,110,Standard grant,10,ODA,3,1,Bilateral,1
DE-1-201270370,110,Standard grant,10,ODA,3,1,Bilateral,1
DE-1-201366632,110,Standard grant,10,ODA,3,1,Bilateral,1
46002-P-SC-K00-004,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SC-KA0-001,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SC-K00-005,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SC-K00-022,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SC-K00-023,,,,,,2,Multilateral (inflows),1
46002-P-SC-K00-024,,,,,,2,Multilateral (inflows),1
46002-P-SC-K00-025,,,,,,2,Multilateral (inflows),1
46002-P-SC-K00-028,,,,,,2,Multilateral (inflows),1
46002-P-SO-K00-003,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SO-AA0-009,,,,,,2,Multilateral (inflows),1
46002-P-SO-KF0-015,,,,,,2,Multilateral (inflows),1
46002-P-SO-E00-009,,,,,,2,Multilateral (inflows),1
46002-P-SO-E00-005,,,,,,2,Multilateral (inflows),1
46002-P-SL-KA0-017,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SL-KA0-016,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SL-KA0-005,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SL-KA0-013,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SL-AA0-023,,,,,,2,Multilateral (inflows),1
46002-P-SL-KF0-013,,,,,,2,Multilateral (inflows),1
46002-P-ZA-K00-005,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-ZA-K00-006,,,,,,2,Multilateral (inflows),1
46002-P-ZA-F00-013,,,,,,2,Multilateral (inflows),1
46002-P-SS-I00-006,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SS-I00-003,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SS-AAZ-001,110,Standard grant,10,ODA,5,2,Multilateral (inflows),1
46002-P-SS-I00-009,,,,,,2,Multilateral (inflows),1
46002-P-SS-I00-008,,,,,,2,Multilateral (inflows),1
46002-P-SS-A00-001,,,,,,2,Multilateral (inflows),1
46002-P-SS-A00-002,,,,,,2,Multilateral (inflows),1
46002-P-SS-I00-005,,,,,,2,Multilateral (inflows),1
46002-P-SS-I00-010,,,,,,2,Multilateral (inflows),1
46002-P-SS-I00-011,,,,,,2,Multilateral (inflows),1
46002-P-SS-I00-014,,,,,,2,Multilateral (inflows),1
46002-P-SN-KA0-014,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SN-KA0-016,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SN-KA0-009,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SN-K00-005,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SN-K00-006,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SN-K00-008,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SN-KA0-005,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SN-K00-013,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SN-BG0-001,,,10,ODA,5,2,Multilateral (inflows),1
46002-P-SN-A00-022,,,,,,2,Multilateral (inflows),1
46002-P-SN-KA0-018,,,,,,2,Multilateral (inflows),1
46002-P-SN-KA0-019,,,,,,2,Multilateral (inflows),1
DE-1-201265743,421,Standard loan,10,ODA,3,1,Bilateral,1
DE-1-201265750,421,Standard loan,10,ODA,3,1,Bilateral,1
DE-1-201266287,421,Standard loan,10,ODA,3,1,Bilateral,1
46002-P-SD-KF0-006,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-SD-K00-007,110,Standard grant,10,ODA,5,2,Multilateral (inflows),1
46002-P-SD-AAB-005,,,,,,2,Multilateral (inflows),1
46002-P-SD-I00-010,,,,,,2,Multilateral (inflows),1
46002-P-SD-AA0-009,,,,,,2,Multilateral (inflows),1
46002-P-SD-I00-008,,,,,,2,Multilateral (inflows),1
46002-P-SZ-K00-005,,,,,,2,Multilateral (inflows),1
46002-P-SZ-AA0-013,,,,,,2,Multilateral (inflows),1
46002-P-SZ-K00-008,,,,,,2,Multilateral (inflows),1
46002-P-TG-KA0-002,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TG-KZ0-002,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TG-AA0-015,,,,,,2,Multilateral (inflows),1
46002-P-TG-KA0-004,,,,,,2,Multilateral (inflows),1
46002-P-TZ-K00-016,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TZ-AA0-025,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TZ-KA0-002,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TZ-KA0-005,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TZ-AAZ-002,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
DE-1-201170315,110,Standard grant,10,ODA,3,1,Bilateral,1
46002-P-TZ-IAC-002,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TZ-K00-007,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TZ-K00-008,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TZ-K00-009,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
