iatiidentifier,date_type,isodate
BJ-IFU-6201810251129-RGS0123375-29295,planned_start,2016-11-29
BJ-IFU-6201810251129-RGS0123375-29295,actual_start,2018-01-05
BJ-IFU-6201810251129-RGS0123375-29295,planned_end,2021-06-30
BJ-IFU-6200901944008-RSG0123375-29295,planned_start,2016-11-29
BJ-IFU-6200901944008-RSG0123375-29295,actual_start,2018-01-05
BJ-IFU-6200901944008-RSG0123375-29295,planned_end,2022-06-30
XM-DAC-50-21-Z03-24-01-22500,planned_start,2025-01-14
XM-DAC-50-21-Z03-24-01-22500,actual_start,2025-01-14
XM-DAC-50-21-Z03-24-01-22500,planned_end,2028-07-13
XM-DAC-50-21-Z03-25-01-21800,planned_start,2025-12-09
XM-DAC-50-21-Z03-25-01-21800,actual_start,2025-12-09
XM-DAC-50-21-Z03-25-01-21800,planned_end,2026-12-31
46002-P-DZ-K00-007,actual_start,2016-11-23
46002-P-DZ-K00-007,planned_end,2018-12-31
46002-P-DZ-K00-007,actual_end,2017-12-31
46002-P-BJ-KA0-006,planned_start,2003-12-10
46002-P-BJ-KA0-006,actual_start,2004-01-12
46002-P-BJ-KA0-006,planned_end,2006-12-31
46002-P-BJ-KA0-006,actual_end,2006-12-31
46002-P-BJ-KA0-009,planned_start,2009-04-29
46002-P-BJ-KA0-009,actual_start,2009-05-14
46002-P-BJ-KA0-009,planned_end,2010-12-31
46002-P-BJ-KA0-009,actual_end,2010-12-31
46002-P-BJ-KA0-013,planned_start,2006-07-24
46002-P-BJ-KA0-013,actual_start,2006-09-14
46002-P-BJ-KA0-013,planned_end,2008-06-30
46002-P-BJ-KA0-013,actual_end,2008-12-31
46002-P-BJ-KA0-014,planned_start,2012-09-06
46002-P-BJ-KA0-014,actual_start,2012-10-17
46002-P-BJ-KA0-014,planned_end,2014-06-30
46002-P-BJ-KA0-014,actual_end,2014-06-30
46002-P-DZ-K00-007,planned_start,2016-11-02
46002-P-BJ-FZ0-001,planned_start,2017-04-12
46002-P-BJ-FZ0-001,actual_start,2017-04-13
46002-P-BJ-FZ0-001,planned_end,2017-12-30
46002-P-BJ-FZ0-001,actual_end,2017-12-31
46002-P-BW-K00-001,actual_start,2009-08-03
46002-P-BW-K00-001,planned_end,2011-07-30
46002-P-BW-K00-001,actual_end,2011-06-30
46002-P-BJ-K00-005,planned_start,2018-10-31
46002-P-BJ-K00-005,actual_start,2018-11-12
46002-P-BJ-K00-005,planned_end,2020-06-30
46002-P-BJ-K00-005,actual_end,2020-06-30
46002-P-BJ-K00-006,planned_start,2019-07-15
46002-P-BJ-K00-006,actual_start,2019-08-13
46002-P-BJ-K00-006,planned_end,2020-06-30
46002-P-BJ-K00-006,actual_end,2020-06-30
46002-P-BJ-KZ0-001,planned_start,2020-07-24
46002-P-BJ-KZ0-001,actual_start,2020-08-17
46002-P-BJ-KZ0-001,planned_end,2022-12-30
46002-P-BJ-KZ0-001,actual_end,2021-11-30
46002-P-AO-FA0-002,planned_start,2014-05-13
46002-P-AO-FA0-002,actual_start,2014-07-28
46002-P-AO-FA0-002,planned_end,2016-12-20
46002-P-AO-FA0-002,actual_end,2016-06-30
46002-P-BJ-KF0-001,planned_start,2023-12-13
46002-P-BJ-KF0-001,actual_start,2023-12-14
46002-P-BJ-KF0-001,planned_end,2024-12-31
46002-P-BJ-KF0-001,actual_end,2025-05-01
46002-P-BJ-K00-007,planned_start,2024-07-18
46002-P-BJ-K00-007,actual_start,2024-07-25
46002-P-BJ-K00-007,planned_end,2025-12-31
46002-P-BJ-E00-007,planned_start,2024-12-17
46002-P-BJ-E00-007,actual_start,2025-02-11
46002-P-BJ-E00-007,planned_end,2031-06-30
46002-P-BJ-K00-010,planned_end,2027-12-31
46002-P-BJ-K00-010,planned_start,2025-11-24
46002-P-BJ-K00-010,actual_start,2026-01-06
46002-P-AO-K00-007,planned_start,2019-10-29
46002-P-AO-K00-007,actual_start,2019-11-26
46002-P-AO-K00-007,planned_end,2021-12-31
46002-P-AO-K00-007,actual_end,2020-12-31
46002-P-AO-AA0-011,planned_start,2023-12-13
46002-P-AO-AA0-011,actual_start,2023-12-18
46002-P-AO-AA0-011,planned_end,2026-12-31
46002-P-AO-K00-009,planned_start,2024-11-27
46002-P-AO-K00-009,actual_start,2025-02-07
46002-P-AO-K00-009,planned_end,2026-12-31
46002-P-BW-K00-004,planned_end,2024-03-13
46002-P-BW-K00-004,actual_end,2024-10-23
46002-P-BW-K00-004,planned_start,2021-09-08
46002-P-BW-K00-004,actual_start,2022-02-03
46002-P-BI-KA0-001,planned_start,2004-12-08
46002-P-BI-KA0-001,actual_start,2005-01-12
46002-P-BI-KA0-001,planned_end,2012-06-30
46002-P-BI-KA0-001,actual_end,2012-05-30
46002-P-BI-I00-004,planned_start,2020-01-15
46002-P-BI-I00-004,actual_start,2020-06-05
46002-P-BI-I00-004,planned_end,2024-06-30
46002-P-BI-I00-004,actual_end,2024-10-10
46002-P-BW-K00-001,planned_start,2009-06-02
46002-P-BW-K00-005,planned_start,2022-11-30
46002-P-BW-K00-005,actual_start,2023-11-17
46002-P-BW-K00-005,planned_end,2024-06-30
46002-P-BW-K00-005,actual_end,2024-10-29
46002-P-BW-K00-006,planned_start,2025-05-14
46002-P-BW-K00-006,actual_start,2025-08-12
46002-P-BW-K00-006,planned_end,2026-12-31
46002-P-BW-K00-006,actual_end,2026-06-22
46002-P-BF-FA0-008,planned_start,2015-07-10
46002-P-BF-FA0-008,actual_start,2015-07-23
46002-P-BF-FA0-008,planned_end,2016-12-31
46002-P-BF-FA0-008,actual_end,2015-12-31
46002-P-BF-K00-006,planned_start,2008-07-09
46002-P-BF-K00-006,actual_start,2008-07-17
46002-P-BF-K00-006,planned_end,2010-12-31
46002-P-BF-K00-006,actual_end,2010-12-31
46002-P-BF-K00-011,planned_start,2004-09-22
46002-P-BF-K00-011,actual_start,2004-09-27
46002-P-BF-K00-011,planned_end,2006-12-31
46002-P-BF-K00-011,actual_end,2005-12-31
46002-P-CF-K00-020,planned_start,2023-12-06
46002-P-CF-K00-020,actual_start,2023-12-13
46002-P-CF-K00-020,planned_end,2024-12-31
46002-P-CF-K00-020,actual_end,2025-06-02
46002-P-BF-K00-012,planned_start,2005-12-14
46002-P-BF-K00-012,actual_start,2006-02-03
46002-P-BF-K00-012,planned_end,2008-12-31
46002-P-BF-K00-012,actual_end,2008-12-31
46002-P-CF-K00-021,planned_start,2024-11-26
46002-P-BF-KA0-009,planned_start,2014-09-17
46002-P-BF-KA0-009,actual_start,2014-10-09
46002-P-BF-KA0-009,planned_end,2015-12-31
46002-P-BF-KA0-009,actual_end,2015-12-31
46002-P-CF-K00-021,actual_start,2024-12-03
46002-P-CF-K00-021,planned_end,2025-12-31
46002-P-CM-K00-010,planned_end,2021-12-31
46002-P-CM-K00-010,actual_end,2021-12-31
46002-P-CM-K00-010,planned_start,2020-06-22
46002-P-CM-K00-010,actual_start,2020-07-20
46002-P-KM-K00-014,planned_end,2026-12-31
46002-P-BF-KZ0-003,planned_start,2020-07-22
46002-P-BF-KZ0-003,actual_start,2020-08-11
46002-P-BF-KZ0-003,planned_end,2021-06-30
46002-P-BF-KZ0-003,actual_end,2021-06-30
46002-P-BF-KZ0-001,planned_start,2018-07-18
46002-P-BF-KZ0-001,actual_start,2018-08-28
46002-P-BF-KZ0-001,planned_end,2021-12-30
46002-P-BF-KZ0-001,actual_end,2021-12-30
46002-P-CV-K00-013,planned_end,2022-12-31
46002-P-CV-K00-013,actual_end,2022-12-31
46002-P-CV-K00-013,planned_start,2021-09-22
46002-P-CV-K00-013,actual_start,2021-10-13
46002-P-CV-K00-007,planned_start,2009-10-28
46002-P-CV-K00-007,actual_start,2010-10-28
46002-P-CV-K00-007,planned_end,2011-06-30
46002-P-CV-K00-007,actual_end,2010-12-31
