iatiidentifier,reportingorg_ref,reportingorg_narrative,url,format,category_code,domain
DE-1-200770347,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.kfw-entwicklungsbank.de/Internationale-Finanzierung/KfW-Entwicklungsbank/Projekte/Projektdatenbank/index.jsp,text/html,A12,www.kfw-entwicklungsbank.de
DE-1-200770347,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.kfw-entwicklungsbank.de/Internationale-Finanzierung/KfW-Entwicklungsbank/Evaluierungen/Ergebnisse/,application/pdf,A07,www.kfw-entwicklungsbank.de
DE-1-200770347,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.bmz.de/de/laender/malawi,text/html,B03,www.bmz.de
DE-1-200770347,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.bmz.de/en/countries/malawi,text/html,B03,www.bmz.de
DE-1-200770347,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.kfw-entwicklungsbank.de/International-financing/KfW-Development-Bank/Evaluations/Results/,application/pdf,A07,www.kfw-entwicklungsbank.de
DE-1-200770347,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.gtai.de/KfW-Ausschreibungen,text/html,A10,www.gtai.de
DE-1-200770347,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.gtai.de/kfw-tender,text/html,A10,www.gtai.de
DE-1-200770347,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.gtai.de/KfW-Ausschreibungen,text/html,A11,www.gtai.de
DE-1-200770347,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.gtai.de/kfw-tender,text/html,A11,www.gtai.de
DE-1-200770347,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.kfw-entwicklungsbank.de/Internationale-Finanzierung/KfW-Entwicklungsbank/Evaluierungen/Ergebnisse/,application/pdf,A05,www.kfw-entwicklungsbank.de
DE-1-200770347,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.kfw-entwicklungsbank.de/International-financing/KfW-Development-Bank/Evaluations/Results/,application/pdf,A05,www.kfw-entwicklungsbank.de
