iatiidentifier,commitment_usd_full,disbursement_usd_full,n_disb_years_full
44000-P101177,330000000,330000000,2
44000-P101471,330000000,330000000,2
44000-P110836,75000000,73851968,1
44000-P111926,65000000,65000000,4
44000-P112346,300000000,300000000,3
44000-P120536,85000000,85488870,1
44000-P120566,100000000,97003403,1
44000-P120860,0,0,1
44000-P122667,70000000,69284368,1
44000-P122738,66000000,66000000,2
44000-P122793,250000000,247009513,1
44000-P123352,200000000,197996752,1
44000-P123353,75000000,73301800,1
44000-P124041,100000000,100000000,1
44000-P124174,200000000,199487380,1
44000-P125202,7000000,7000000,2
44000-P125272,50000000,49457688,2
44000-P125694,20000000,20000000,1
44000-P125943,500000000,500000000,1
44000-P126034,25000000,25924248,1
44000-P126038,50000000,51972359,1
44000-P126274,25000000,24942602,1
44000-P126297,300751880,300751880,1
44000-P126351,700000000.0000001,700000000.0000001,2
44000-P126470,30000000,30184000,1
44000-P126580,799999999.9999999,800000000,4
44000-P126583,250000000,250000000,1
44000-P126749,200000000,200000000,1
44000-P126903,15000000,15189537,2
44000-P127038,160000000,162656323,1
44000-P127201,70000000,68943420,1
44000-P127332,100000000,100000000,2
44000-P127408,100000000,101458112.99999999,1
44000-P127411,15499999.999999998,15565513.999999998,1
44000-P127433,991400000,920325000,1
44000-P127449,50000000,51455493,1
44000-P127665,206800000,202102500,1
44000-P127754,72000000,72000000,1
44000-P127787,800000000,823562360,1
44000-P127822,203200000,192942600,1
44000-P127955,130000000,129837350,1
44000-P127956,300000000,302345126,1
44000-P128140,20000000,20000000,1
44000-P128251,500000000,513087454,1
44000-P128258,600000000,603789088,1
44000-P128284,55000000,55184983.99999999,1
44000-P128434,50000000,49255666,1
44000-P129489,50000000,49725650,1
44000-P129597,60000000,60056608,1
44000-P129652,150000000,150000000,2
44000-P130012,100000000,101760555,1
44000-P130048,2000000000,2000000000,1
44000-P130051,1333300000,1370150000,2
44000-P130459,1307800000,1327050000,1
44000-P130847,50000000,48563597,1
44000-P130903,200000000,206729014,1
44000-P130972,150000000,150000000,2
44000-P131028,45000000,45000000,1
44000-P131212,110000000,113036000,1
44000-P131440,260000000,260000000,1
44000-P131688,3800000,3851950,1
44000-P131763,200000000,200000000,1
44000-P131775,70000000,66054828,1
44000-P132208,13999999.999999998,13450216,1
44000-P132510,15000000,16140221,2
44000-P132709,250000000,242507719,2
44000-P132757,49998454,50136378.99999999,1
44000-P132768,550000000,550000000,1
44000-P132786,20000000,20030555,1
44000-P133107,-37614.999999999534,25128243.000000004,1
44000-P133664,150000000,151757276,1
44000-P133687,25000000,23759082,1
44000-P133738,340000000,340000000,1
44000-P133798,100000000,99994329,1
44000-P143040,75000000,75000000,1
44000-P143060,60000000,60789266,1
44000-P143283,30000000,30220413,2
44000-P143645,100000000,98217064,1
44000-P143781,69999845,68518299,2
44000-P144185,100000000,93020495,1
44000-P144601,5000000,5246370,1
44000-P144602,5200000,5279344,1
44000-P144675,200000000,200000000,2
44000-P145251,70000000,69970546,2
44000-P145254,100000000,100430168,1
44000-P145275,63000000,56874232,1
44000-P145488,3000000,3083420,1
44000-P145605,600000000,600000000,2
44000-P145766,700000000,700000000,2
44000-P145995,129999999.99999999,129999999.99999999,1
44000-P146095,250000000,236452902,1
44000-P146243,965800000,899010000,1
44000-P146280,100000000,96279915,1
44000-P146322,500000000,462464750,1
44000-P146398,50000000,47351800,1
44000-P146452,70000000,70829850,1
44000-P146537,110000000,108073020,1
44000-P146640,100000000,100234568,1
44000-P146665,19999999.999999996,19973720,1
44000-P146726,30000000.000000004,29930152,1
44000-P146740,50000000,42492510,2
44000-P146930,50000000,47826648,1
44000-P146942,200000000,200000000,1
44000-P146981,200000000,200000000,1
44000-P147015,10000000,10138680,1
44000-P147152,15000000,14991447,1
44000-P147226,120000000,115511270,1
44000-P147244,300751880,300751880,1
44000-P147257,300000000,291073945,1
44000-P147454,102000000,102000000,2
44000-P147557,400000000,402406950,1
44000-P147695,500000000,500000000,1
44000-P147803,300000000,300000000,2
44000-P147806,20000000,20068048,1
44000-P147913,250000000,250000000,2
44000-P147979,216000000,216000000,1
44000-P147984,400000000,400000000,1
44000-P148083,280000000,280000000,1
44000-P148099,24000000,23174775,1
44000-P148642,129999999.99999999,116040061,1
44000-P148861,7000000,7000000,2
44000-P148957,1034800000,843900000,1
44000-P149555,45000000,44615970,2
44000-P149609,700000000,700000000,3
44000-P149747,300000000,300000000,2
44000-P149750,100000000,96944859,1
44000-P149768,80000000,91811444,2
44000-P149770,7500000,6926542.000000001,1
44000-P149776,558270000,593050000,1
44000-P149831,70000000,70000000,1
44000-P149886,5000000,4580994,1
44000-P149888,3000000,13878470,2
44000-P149963,5000000,14968726,2
44000-P149991,60000000,60000000,1
44000-P149998,60000000,60000000,1
44000-P150009,80000000,79496064,1
44000-P150194,4500000,4604534,2
44000-P150313,750000000,750000000,1
44000-P150475,700000000,700704760,2
44000-P150503,45000000,44175590,1
44000-P150677,500000000,500000000,1
44000-P150751,200000000,197180858,1
44000-P150924,2997298,3091824,1
44000-P150941,25000000,23802516,1
44000-P150950,500000000,497634432.99999994,2
44000-P151007,100000000,100000000,2
44000-P151275,99999655.99999999,99019092,1
44000-P151279,70000000,66240910,1
44000-P151448,75000000,75000000,1
44000-P151480,75000000,74396673,1
44000-P151487,80000000,77240520,1
44000-P151794,48421660.99999999,57657783,2
44000-P151803,55000000,55000000,1
44000-P151804,300000000,300000000,1
44000-P151821,14999999.999999998,14993960,1
44000-P152021,500000000,489390303.99999994,1
44000-P152064,100000000,100000000,1
44000-P152440,24000000,23313675,1
44000-P153084,55000000,54642283.99999999,1
44000-P153203,150000000,150000000,1
44000-P153234,50000000,50000000,2
44000-P153243,450000000,450000000,2
44000-P153269,5000000,5000000,2
44000-P153753,80000000,84267052,1
