iatiidentifier,country,percentage
DE-1-200770347,MW,100
DE-1-200970418,MW,100
46002-P-NA-HAA-006,NA,0
DE-1-200970012,MZ,100
46002-P-SC-K00-015,SC,0
DE-1-201265248,MZ,100
DE-1-201270370,MZ,100
DE-1-201366632,MZ,100
46002-P-SC-K00-004,SC,0
46002-P-SC-KA0-001,SC,0
46002-P-SC-K00-005,SC,0
46002-P-SC-K00-022,SC,0
46002-P-SC-K00-023,SC,0
46002-P-SC-K00-024,SC,0
46002-P-SC-K00-025,SC,0
46002-P-SC-K00-028,SC,0
46002-P-SO-K00-003,SO,0
46002-P-SO-AA0-009,SO,0
46002-P-SO-KF0-015,SO,0
46002-P-SO-E00-009,SO,0
46002-P-SO-E00-005,SO,0
46002-P-SL-KA0-017,SL,0
46002-P-SL-KA0-016,SL,0
46002-P-SL-KA0-005,SL,0
46002-P-SL-KA0-013,SL,0
46002-P-SL-AA0-023,SL,0
46002-P-SL-KF0-013,SL,0
46002-P-ZA-K00-005,ZA,0
46002-P-ZA-K00-006,ZA,0
46002-P-ZA-F00-013,ZA,0
46002-P-SS-I00-006,SS,0
46002-P-SS-I00-003,SS,0
46002-P-SS-AAZ-001,SS,0
46002-P-SS-I00-009,SS,0
46002-P-SS-I00-008,SS,0
46002-P-SS-A00-001,SS,0
46002-P-SS-A00-002,SS,0
46002-P-SS-I00-005,SS,0
46002-P-SS-I00-010,SS,0
46002-P-SS-I00-011,SS,0
46002-P-SS-I00-014,SS,0
46002-P-SN-KA0-014,SN,0
46002-P-SN-KA0-016,SN,0
46002-P-SN-KA0-009,SN,0
46002-P-SN-K00-005,SN,0
46002-P-SN-K00-006,SN,0
46002-P-SN-K00-008,SN,0
46002-P-SN-KA0-005,SN,0
46002-P-SN-K00-013,SN,0
46002-P-SN-BG0-001,SN,0
46002-P-SN-A00-022,SN,0
46002-P-SN-KA0-018,SN,0
46002-P-SN-KA0-019,SN,0
DE-1-201265743,PE,100
DE-1-201265750,PE,100
DE-1-201266287,PE,100
46002-P-SD-KF0-006,SD,0
46002-P-SD-K00-007,SD,0
46002-P-SD-AAB-005,SD,0
46002-P-SD-I00-010,SD,0
46002-P-SD-AA0-009,SD,0
46002-P-SD-I00-008,SD,0
46002-P-SZ-K00-005,SZ,0
46002-P-SZ-AA0-013,SZ,0
46002-P-SZ-K00-008,SZ,0
46002-P-TG-KA0-002,TG,0
46002-P-TG-KZ0-002,TG,0
46002-P-TG-AA0-015,TG,0
46002-P-TG-KA0-004,TG,0
46002-P-TZ-K00-016,TZ,0
46002-P-TZ-AA0-025,TZ,0
46002-P-TZ-KA0-002,TZ,0
46002-P-TZ-KA0-005,TZ,0
46002-P-TZ-AAZ-002,TZ,0
DE-1-201170315,RW,100
46002-P-TZ-IAC-002,TZ,0
46002-P-TZ-K00-007,TZ,0
46002-P-TZ-K00-008,TZ,0
46002-P-TZ-K00-009,TZ,0
46002-P-TZ-K00-011,TZ,0
46002-P-TZ-K00-013,TZ,0
46002-P-TZ-K00-014,TZ,0
46002-P-TZ-KA0-007,TZ,0
46002-P-TZ-K00-018,TZ,0
46002-P-TZ-HAA-004,TZ,0
46002-P-TZ-K00-019,TZ,0
46002-P-TZ-K00-020,TZ,0
46002-P-TN-HZ0-005,TN,0
46002-P-TN-IAZ-003,TN,0
46002-P-TN-IAZ-002,TN,0
46002-P-TN-HA0-004,TN,0
46002-P-TN-HAA-030,TN,0
46002-P-TN-IZ0-001,TN,0
46002-P-TN-IZ0-006,TN,0
DE-1-201265115,TZ,100
DE-1-201270040,TZ,100
46002-P-TN-KA0-003,TN,0
46002-P-TN-IZ0-008,TN,0
46002-P-TN-HZ0-002,TN,0
46002-P-TN-I00-012,TN,0
46002-P-TN-K00-018,TN,0
46002-P-TN-I00-022,TN,0
46002-P-UG-K00-009,UG,0
DE-1-201070259,UG,100
46002-P-UG-K00-006,UG,0
46002-P-UG-E00-012,UG,0
DE-1-201165828,ZM,100
BJ-IFU-6201001076902-RSG0123375-29295,BJ,100
BJ-IFU-6200901944209-RSG0123375-29295,BJ,100
BJ-IFU-6201001843703-RGS0123375-29295,BJ,100
46002-P-ZW-KZ0-001,ZW,0
46002-P-ZW-AA0-021,ZW,0
46002-P-ZW-I00-004,ZW,0
46002-P-ZW-AA0-024,ZW,0
46002-P-ZM-K00-002,ZM,0
46002-P-ZM-KA0-001,ZM,0
46002-P-ZM-IZ0-002,ZM,0
46002-P-ZM-K00-003,ZM,0
46002-P-ZM-KA0-004,ZM,0
46002-P-ZM-K00-006,ZM,0
XM-DAC-6-4-011639-02-5,BF,100
XM-DAC-6-4-011005-01-3,BF,100
XM-DAC-6-4-010877-02-0,BF,100
XM-DAC-6-4-010888-01-0,BO,100
XM-DAC-6-4-013158-01-1,CG,100
BJ-IFU-6201000370801-RSG0123375-29295,BJ,100
BJ-IFU-6201300688700-RSG0123375-29295,BJ,100
XI-IATI-CWSEC-Q0104,TO,12.5
XI-IATI-CWSEC-Q0104,IN,12.5
XI-IATI-CWSEC-Q0104,MU,12.5
XI-IATI-CWSEC-Q0104,ZA,12.5
XI-IATI-CWSEC-Q0104,GY,12.5
XI-IATI-CWSEC-Q0104,LS,12.5
XI-IATI-CWSEC-Q0201,TT,10
XI-IATI-CWSEC-Q0201,MW,10
XI-IATI-CWSEC-Q0201,GA,10
XI-IATI-CWSEC-Q0201,BW,10
XI-IATI-CWSEC-Q0201,MZ,10
XI-IATI-CWSEC-Q0201,GY,10
XI-IATI-CWSEC-Q0201,BD,10
XI-IATI-CWSEC-Q0201,SL,10
XI-IATI-CWSEC-Q0301,NZ,12.5
XI-IATI-CWSEC-Q0301,TO,12.5
XI-IATI-CWSEC-Q0301,KE,12.5
XI-IATI-CWSEC-Q0301,BB,12.5
XI-IATI-CWSEC-Q0301,FJ,12.5
XI-IATI-CWSEC-Q0301,BW,12.5
XI-IATI-CWSEC-Q0301,SZ,12.5
XI-IATI-CWSEC-Q0304,NA,50
XI-IATI-CWSEC-Q0305,GH,100
XI-IATI-CWSEC-Q0306,SC,16.66
XI-IATI-CWSEC-Q0306,GH,16.66
XI-IATI-CWSEC-Q0306,NG,16.66
XI-IATI-CWSEC-Q0306,KE,16.66
XI-IATI-CWSEC-Q0306,ZA,16.66
XI-IATI-CWSEC-Q0308,GH,50
XI-IATI-CWSEC-Q0501,GB,16.66
XI-IATI-CWSEC-Q0501,NG,16.66
XI-IATI-CWSEC-Q0501,PK,16.66
XI-IATI-CWSEC-Q0501,LK,16.66
XI-IATI-CWSEC-Q0501,MU,16.66
XI-IATI-CWSEC-Q0502,MU,50
XI-IATI-CWSEC-Q0503,NU,16.66
XI-IATI-CWSEC-Q0503,WS,16.66
XI-IATI-CWSEC-Q0503,VU,16.66
XI-IATI-CWSEC-Q0503,NZ,16.66
XI-IATI-CWSEC-Q0601,GB,50
XI-IATI-CWSEC-Q0601,BZ,50
XI-IATI-CWSEC-Q0701,NA,50
XI-IATI-CWSEC-Q0801,BD,20
XI-IATI-CWSEC-Q0801,PK,20
XI-IATI-CWSEC-Q0802,GB,25
XI-IATI-CWSEC-Q0802,KI,25
XI-IATI-CWSEC-Q0901,KN,25
XI-IATI-CWSEC-Q0901,CY,25
XI-IATI-CWSEC-Q1101,GB,50
XI-IATI-CWSEC-Q1203,SZ,100
XI-IATI-CWSEC-Q1303,BD,33.33
XI-IATI-CWSEC-Q1303,PK,33.33
XI-IATI-CWSEC-Q0603,KE,10
XI-IATI-CWSEC-Q0603,GB,10
XI-IATI-CWSEC-Q0603,LK,10
XI-IATI-CWSEC-Q0603,RW,10
XI-IATI-CWSEC-Q0603,NA,10
XI-IATI-CWSEC-Q0603,PG,10
XI-IATI-CWSEC-Q0603,SZ,10
