child_id,parent_id
XM-DAC-3-1-191966-24982,XM-DAC-3-1-191966
XM-DAC-3-1-185092-24540,XM-DAC-3-1-185092
XM-DAC-3-1-187132-24323,XM-DAC-3-1-187132
XM-DAC-3-1-123763-17768,XM-DAC-3-1-123763
XM-DAC-3-1-104226-14831,XM-DAC-3-1-104226
XM-DAC-3-1-104226-3447,XM-DAC-3-1-104226
XM-DAC-3-1-146973-20461,XM-DAC-3-1-146973
XM-DAC-3-1-147772-20704,XM-DAC-3-1-147772
XM-DAC-3-1-107049-16394,XM-DAC-3-1-107049
XM-DAC-3-1-111873-15882,XM-DAC-3-1-111873
XM-DAC-3-1-157850-21430,XM-DAC-3-1-157850
XM-DAC-3-1-159646-21990,XM-DAC-3-1-159646
XM-DAC-3-1-159646-25812,XM-DAC-3-1-159646
XM-DAC-3-1-134624-18562,XM-DAC-3-1-134624
XM-DAC-3-1-160285-21566,XM-DAC-3-1-160285
XM-DAC-3-1-171259-23120,XM-DAC-3-1-171259
XM-DAC-3-1-144397-20541,XM-DAC-3-1-144397
XM-DAC-3-1-172859-23033,XM-DAC-3-1-172859
XM-DAC-3-1-204943-27743,XM-DAC-3-1-204943
XM-DAC-3-1-174458-24297,XM-DAC-3-1-174458
XM-DAC-3-1-175962-23673,XM-DAC-3-1-175962
XM-DAC-3-1-209288-26075,XM-DAC-3-1-209288
XM-DAC-3-1-209288-26078,XM-DAC-3-1-209288
XM-DAC-3-1-229249-29282,XM-DAC-3-1-229249
XM-DAC-3-1-255454-30798,XM-DAC-3-1-255454
XM-DAC-3-1-255454-31740,XM-DAC-3-1-255454
XM-DAC-3-1-255454-31741,XM-DAC-3-1-255454
XM-DAC-3-1-49056-15497,XM-DAC-3-1-49056
XM-DAC-3-1-49056-19443,XM-DAC-3-1-49056
XM-DAC-3-1-49056-6884,XM-DAC-3-1-49056
XI-IATI-EC_INTPA-2023-PC-23134,XI-IATI-EC_INTPA-2022-ACT-61306
XI-IATI-EC_INTPA-2023-PC-23130,XI-IATI-EC_INTPA-2022-ACT-61306
XI-IATI-EC_INTPA-2023-PC-25058,XI-IATI-EC_INTPA-2022-ACT-60736
XI-IATI-EC_INTPA-2025-PC-55044,XI-IATI-EC_INTPA-2022-ACT-61306
XI-IATI-EC_INTPA-2023-PC-23139,XI-IATI-EC_INTPA-2022-ACT-61306
XI-IATI-EC_INTPA-2022-PC-21502,XI-IATI-EC_INTPA-2021-ACT-62576
XI-IATI-EC_INTPA-2022-PC-21502,XI-IATI-EC_INTPA-2021-ACT-61116
XI-IATI-EC_INTPA-2020-PCC-417520,XI-IATI-EC_INTPA-2016-ACT-D-38575-00
XI-IATI-EC_INTPA-2023-PC-27358,XI-IATI-EC_INTPA-2016-ACT-D-38564-01
XI-IATI-EC_INTPA-2021-PCC-417549,XI-IATI-EC_INTPA-2016-ACT-D-38575-00
XI-IATI-EC_INTPA-2019-PCC-410060,XI-IATI-EC_INTPA-2018-ACT-D-40701-00
XI-IATI-EC_INTPA-2022-PC-21515,XI-IATI-EC_INTPA-2016-ACT-D-38574-01
XI-IATI-EC_INTPA-2018-PCC-404409,XI-IATI-EC_INTPA-2018-ACT-D-40643-00
XI-IATI-EC_INTPA-2018-PCC-404409,XI-IATI-EC_INTPA-2023-ACT-61724
XI-IATI-EC_INTPA-2018-PCC-404409,XI-IATI-EC_INTPA-2017-ACT-D-39656-00
XI-IATI-EC_INTPA-2022-PCC-436209,XI-IATI-EC_INTPA-2020-ACT-D-42401-00
XI-IATI-EC_INTPA-2023-PC-25429,XI-IATI-EC_INTPA-2020-ACT-D-42401-00
XI-IATI-EC_INTPA-2019-PCC-407596,XI-IATI-EC_INTPA-2016-ACT-D-38564-01
XI-IATI-EC_INTPA-2025-PC-36947,XI-IATI-EC_INTPA-2021-ACT-61116
XI-IATI-EC_INTPA-2019-PCC-404038,XI-IATI-EC_INTPA-2016-ACT-D-38564-01
XI-IATI-EC_INTPA-2021-PCC-422434,XI-IATI-EC_INTPA-2016-ACT-D-38575-00
XI-IATI-EC_INTPA-2023-PC-25426,XI-IATI-EC_INTPA-2020-ACT-D-42401-00
XI-IATI-EC_INTPA-2025-PC-26320,XI-IATI-EC_INTPA-2021-ACT-61116
XI-IATI-EC_INTPA-2018-PCC-383693,XI-IATI-EC_INTPA-2016-ACT-D-38564-01
XI-IATI-EC_INTPA-2018-PCC-397536,XI-IATI-EC_INTPA-2016-ACT-D-38575-00
XI-IATI-EC_INTPA-2023-PC-25538,XI-IATI-EC_INTPA-2023-ACT-60734
XI-IATI-EC_INTPA-2019-PCC-410047,XI-IATI-EC_INTPA-2019-ACT-D-40019-00
XI-IATI-EC_INTPA-2019-PCC-409406,XI-IATI-EC_INTPA-2019-ACT-D-40019-00
XI-IATI-EC_INTPA-2022-PC-21486,XI-IATI-EC_INTPA-2017-ACT-D-40031-01
XI-IATI-EC_INTPA-2021-PCC-428633,XI-IATI-EC_INTPA-2020-ACT-D-38966-00
XI-IATI-EC_INTPA-2024-PC-25551,XI-IATI-EC_INTPA-2023-ACT-60734
XI-IATI-EC_INTPA-2021-PCC-428501,XI-IATI-EC_INTPA-2020-ACT-D-40118-00
XI-IATI-EC_INTPA-2026-PC-83853,XI-IATI-EC_INTPA-2017-ACT-D-40031-01
XI-IATI-EC_INTPA-2021-PC-7879,XI-IATI-EC_INTPA-2017-ACT-D-40031-01
XI-IATI-EC_INTPA-2019-PCC-408616,XI-IATI-EC_INTPA-2017-ACT-D-40031-01
XI-IATI-EC_INTPA-2022-PC-16749,XI-IATI-EC_INTPA-2017-ACT-D-40031-01
XI-IATI-EC_INTPA-2023-PC-21484,XI-IATI-EC_INTPA-2017-ACT-D-40031-01
XI-IATI-EC_INTPA-2025-PC-36398,XI-IATI-EC_INTPA-2024-ACT-62007
XI-IATI-EC_INTPA-2023-PC-32262,XI-IATI-EC_INTPA-2017-ACT-D-40031-01
XI-IATI-EC_INTPA-2019-PCC-412775,XI-IATI-EC_INTPA-2017-ACT-D-40031-01
XI-IATI-EC_INTPA-2024-PC-26908,XI-IATI-EC_INTPA-2023-ACT-61699
XI-IATI-EC_INTPA-2023-PC-18143,XI-IATI-EC_INTPA-2017-ACT-D-40031-01
XI-IATI-EC_INTPA-2023-PC-25043,XI-IATI-EC_INTPA-2022-ACT-61508
XI-IATI-EC_INTPA-2023-PC-25147,XI-IATI-EC_INTPA-2022-ACT-61508
XI-IATI-EC_INTPA-2023-PC-41431,XI-IATI-EC_INTPA-2022-ACT-61508
XI-IATI-EC_INTPA-2026-PC-84198,XI-IATI-EC_INTPA-2022-ACT-61508
XI-IATI-EC_INTPA-2024-PC-25155,XI-IATI-EC_INTPA-2022-ACT-61508
XI-IATI-EC_INTPA-2024-PC-53145,XI-IATI-EC_INTPA-2021-ACT-61633
XI-IATI-EC_INTPA-2023-PC-25042,XI-IATI-EC_INTPA-2022-ACT-61508
XI-IATI-EC_INTPA-2020-PCC-416581,XI-IATI-EC_INTPA-2019-ACT-D-41517-00
XI-IATI-EC_INTPA-2024-PC-37405,XI-IATI-EC_INTPA-2023-ACT-62014
XI-IATI-EC_INTPA-2024-PC-27309,XI-IATI-EC_INTPA-2022-ACT-61483
XI-IATI-EC_INTPA-2024-PC-27308,XI-IATI-EC_INTPA-2022-ACT-61483
XI-IATI-EC_INTPA-2021-PCC-428224,XI-IATI-EC_INTPA-2020-ACT-D-42454-00
XI-IATI-EC_INTPA-2022-PC-20222,XI-IATI-EC_INTPA-2021-ACT-61078
XI-IATI-EC_INTPA-2023-PC-27590,XI-IATI-EC_INTPA-2021-ACT-61078
XI-IATI-EC_INTPA-2024-PC-27708,XI-IATI-EC_INTPA-2022-ACT-60987
XI-IATI-EC_INTPA-2023-PC-27690,XI-IATI-EC_INTPA-2022-ACT-60987
XI-IATI-EC_INTPA-2023-PC-27689,XI-IATI-EC_INTPA-2022-ACT-60987
XI-IATI-EC_INTPA-2025-PC-53764,XI-IATI-EC_INTPA-2021-ACT-63101
XI-IATI-EC_INTPA-2022-PC-24334,XI-IATI-EC_INTPA-2021-ACT-60940
XI-IATI-EC_INTPA-2021-PCC-430941,XI-IATI-EC_INTPA-2021-ACT-60940
XI-IATI-EC_INTPA-2026-PC-80279,XI-IATI-EC_INTPA-2021-ACT-60940
XI-IATI-EC_INTPA-2023-PC-18126,XI-IATI-EC_INTPA-2020-ACT-D-42401-00
XI-IATI-EC_INTPA-2022-PCC-431645,XI-IATI-EC_INTPA-2019-ACT-D-41940-00
XI-IATI-EC_INTPA-2023-PC-26293,XI-IATI-EC_INTPA-2022-ACT-61489
XI-IATI-EC_INTPA-2026-PC-26307,XI-IATI-EC_INTPA-2022-ACT-61489
XI-IATI-EC_INTPA-2024-PC-27305,XI-IATI-EC_INTPA-2023-ACT-61910
XI-IATI-EC_INTPA-2026-PC-38372,XI-IATI-EC_INTPA-2023-ACT-62246
XI-IATI-EC_INTPA-2022-PC-17800,XI-IATI-EC_INTPA-2021-ACT-61102
XI-IATI-EC_INTPA-2024-PC-37206,XI-IATI-EC_INTPA-2023-ACT-62246
XI-IATI-EC_INTPA-2024-PC-41558,XI-IATI-EC_INTPA-2023-ACT-61846
XI-IATI-EC_INTPA-2025-PC-50869,XI-IATI-EC_INTPA-2023-ACT-61846
XI-IATI-EC_INTPA-2024-PC-36587,XI-IATI-EC_INTPA-2023-ACT-61846
XI-IATI-EC_INTPA-2025-PC-49555,XI-IATI-EC_INTPA-2023-ACT-61846
XI-IATI-EC_INTPA-2021-PCC-429840,XI-IATI-EC_INTPA-2019-ACT-D-41264-00
XI-IATI-EC_INTPA-2023-PC-28421,XI-IATI-EC_INTPA-2023-ACT-61846
XI-IATI-EC_INTPA-2025-PC-46704,XI-IATI-EC_INTPA-2023-ACT-61846
XI-IATI-EC_INTPA-2026-PC-75852,XI-IATI-EC_INTPA-2023-ACT-61846
XI-IATI-EC_INTPA-2026-PC-88277,XI-IATI-EC_INTPA-2023-ACT-61846
XI-IATI-EC_INTPA-2024-PC-36591,XI-IATI-EC_INTPA-2023-ACT-61846
XI-IATI-EC_INTPA-2022-PC-21817,XI-IATI-EC_INTPA-2019-ACT-D-41264-00
XI-IATI-EC_INTPA-2023-PC-36658,XI-IATI-EC_INTPA-2023-ACT-61606
XI-IATI-EC_INTPA-2021-PC-1116,XI-IATI-EC_INTPA-2017-ACT-D-40031-01
XI-IATI-EC_INTPA-2025-PC-36663,XI-IATI-EC_INTPA-2023-ACT-61606
XI-IATI-EC_INTPA-2024-PC-36292,XI-IATI-EC_INTPA-2024-ACT-62007
XI-IATI-EC_INTPA-2023-PC-25625,XI-IATI-EC_INTPA-2022-ACT-61302
XI-IATI-EC_INTPA-2019-PCC-413782,XI-IATI-EC_INTPA-2016-ACT-D-38386-00
XI-IATI-EC_INTPA-2019-PCC-409671,XI-IATI-EC_INTPA-2019-ACT-D-40939-00
XI-IATI-EC_INTPA-2018-PCC-397670,XI-IATI-EC_INTPA-2016-ACT-D-38386-00
XI-IATI-EC_INTPA-2017-PCC-392914,XI-IATI-EC_INTPA-2017-ACT-D-39674-04
XI-IATI-EC_INTPA-2019-PCC-413519,XI-IATI-EC_INTPA-2019-ACT-D-40840-00
XI-IATI-EC_INTPA-2021-PCC-422992,XI-IATI-EC_INTPA-2018-ACT-D-40697-00
XI-IATI-EC_INTPA-2026-PC-76052,XI-IATI-EC_INTPA-2019-ACT-D-40840-00
XI-IATI-EC_INTPA-2021-PCC-419116,XI-IATI-EC_INTPA-2019-ACT-D-40840-00
XI-IATI-EC_INTPA-2018-PCC-397120,XI-IATI-EC_INTPA-2017-ACT-D-39148-00
XI-IATI-EC_INTPA-2018-PCC-399023,XI-IATI-EC_INTPA-2017-ACT-D-39148-00
XI-IATI-EC_INTPA-2025-PC-55340,XI-IATI-EC_INTPA-2021-ACT-62799
XI-IATI-EC_INTPA-2020-PCC-421423,XI-IATI-EC_INTPA-2019-ACT-D-42051-00
XI-IATI-EC_INTPA-2022-PC-21579,XI-IATI-EC_INTPA-2019-ACT-D-42051-00
XI-IATI-EC_INTPA-2026-PC-53801,XI-IATI-EC_INTPA-2022-ACT-60628
