iatiidentifier,ttype,year,tdate,usd
DE-1-200770347,3,2016,2016-12-31,203593.689
DE-1-200770347,2,2009,2009-12-18,569700
DE-1-200770347,3,2015,2015-12-31,366106.31100000005
DE-1-200970418,2,2010,2010-10-01,3670476.194736
DE-1-200970418,3,2017,2017-12-31,2172076.0252920003
DE-1-200970418,3,2018,2018-12-31,1026021.7811700001
DE-1-200970418,3,2016,2016-12-31,472378.388274
46002-P-NA-HAA-006,2,2025,2025-04-07,89198107.57153106
DE-1-200970012,3,2013,2013-12-31,726644.3742000001
DE-1-200970012,3,2014,2014-12-31,226630.72765800002
DE-1-200970012,3,2012,2012-12-31,2464924.898142
DE-1-200970012,2,2010,2010-06-29,3418200
46002-P-SC-K00-015,2,2020,2020-06-30,9910861.722223956
46002-P-SC-K00-015,3,2020,2020-10-15,9617207.60719657
DE-1-201265248,2,2013,2013-11-08,5697000
DE-1-201265248,3,2014,2014-12-31,5697000
DE-1-201270370,3,2013,2013-12-31,3987900
DE-1-201270370,3,2014,2014-12-31,2848500
DE-1-201270370,3,2016,2016-12-31,2278800
DE-1-201270370,2,2013,2013-11-08,9115200
DE-1-201366632,3,2014,2014-12-31,12533400
DE-1-201366632,2,2013,2013-11-08,12533400
46002-P-SC-K00-004,2,2013,2013-12-06,19767980.206317544
46002-P-SC-K00-004,3,2013,2013-12-31,8805864.997213209
46002-P-SC-K00-004,3,2014,2014-12-31,9309483.894240223
46002-P-SC-KA0-001,2,2009,2009-08-25,17467153.39019022
46002-P-SC-KA0-001,3,2010,2010-12-31,8953619.100442497
46002-P-SC-KA0-001,3,2009,2009-12-31,8953619.100442497
46002-P-SC-K00-005,3,2016,2016-03-31,9651087.160821637
46002-P-SC-K00-005,2,2015,2015-11-09,9910861.722223956
46002-P-SC-K00-022,3,2021,2021-10-31,19174835.525022138
46002-P-SC-K00-022,2,2021,2021-08-17,19821723.458008945
46002-P-SC-K00-023,3,2023,2023-12-01,25802817.738372438
46002-P-SC-K00-023,2,2022,2022-12-12,24777154.325901438
46002-P-SC-K00-024,2,2023,2023-12-11,32705843.70639281
46002-P-SC-K00-024,3,2024,2024-02-15,33576651.7947348
46002-P-SC-K00-025,3,2024,2024-12-15,25802817.751933467
46002-P-SC-K00-025,2,2024,2024-10-30,24678498.047889434
46002-P-SC-K00-028,2,2025,2025-08-21,24777154.325901438
46002-P-SC-K00-028,3,2025,2025-10-15,24816289.782982808
46002-P-SO-K00-003,3,2020,2020-03-31,116830724.28116362
46002-P-SO-K00-003,2,2020,2020-03-02,120693185.71697856
46002-P-SO-AA0-009,3,2025,2025-08-15,100556.72105092574
46002-P-SO-AA0-009,3,2025,2025-12-15,365604.53046960506
46002-P-SO-AA0-009,3,2026,2026-03-31,153083.07352655998
46002-P-SO-AA0-009,3,2025,2025-11-15,1079346.602351212
46002-P-SO-AA0-009,3,2025,2025-06-15,82716.00350959512
46002-P-SO-AA0-009,3,2026,2026-04-30,307173.73173837515
46002-P-SO-AA0-009,3,2025,2025-11-30,325561.1216058432
46002-P-SO-AA0-009,3,2024,2024-11-15,62993.652080872576
46002-P-SO-AA0-009,3,2025,2025-09-30,473418.7226321422
46002-P-SO-AA0-009,3,2025,2025-12-31,264827.48333010136
46002-P-SO-AA0-009,2,2022,2022-08-01,5424412.841212519
46002-P-SO-AA0-009,3,2026,2026-05-15,193263.96413378234
46002-P-SO-AA0-009,3,2025,2025-08-31,7833.774292893885
46002-P-SO-AA0-009,3,2023,2023-04-15,102060.84292663347
46002-P-SO-KF0-015,3,2024,2024-12-31,10326.861556779364
46002-P-SO-KF0-015,3,2025,2025-06-15,14983.109734515676
46002-P-SO-KF0-015,3,2024,2024-09-15,10561.548778354423
46002-P-SO-KF0-015,3,2025,2025-10-15,359835.6267298792
46002-P-SO-KF0-015,3,2025,2025-02-28,185720.4772940859
46002-P-SO-KF0-015,3,2025,2025-12-31,39637.07965885868
46002-P-SO-KF0-015,3,2024,2024-06-30,20584.914436667947
46002-P-SO-KF0-015,3,2024,2024-08-31,20278.65208765309
46002-P-SO-KF0-015,3,2024,2024-02-15,65508.77602192548
46002-P-SO-KF0-015,3,2025,2025-03-31,723698.8935553908
46002-P-SO-KF0-015,3,2025,2025-01-15,10400.199618392558
46002-P-SO-KF0-015,3,2026,2026-03-15,7899.423249304659
46002-P-SO-KF0-015,3,2025,2025-05-31,32859.33005789205
46002-P-SO-KF0-015,3,2025,2025-09-30,278596.8128862352
46002-P-SO-KF0-015,3,2026,2026-01-31,56878.6979239416
46002-P-SO-KF0-015,3,2026,2026-06-15,48717.62812124106
46002-P-SO-KF0-015,3,2025,2025-08-31,35211.77585783699
46002-P-SO-KF0-015,3,2025,2025-05-15,10029.237585214136
46002-P-SO-KF0-015,3,2025,2025-05-15,91169.82887333591
46002-P-SO-KF0-015,3,2025,2025-09-30,149841.1596309772
46002-P-SO-KF0-015,3,2025,2025-11-15,271042.6535142737
46002-P-SO-KF0-015,3,2025,2025-12-31,9950.054718764537
46002-P-SO-KF0-015,2,2023,2023-11-30,9492722.47212191
46002-P-SO-KF0-015,3,2025,2025-10-31,39011.38719865692
46002-P-SO-KF0-015,3,2025,2025-08-15,482585.83116243815
46002-P-SO-KF0-015,3,2025,2025-10-15,6917.034961696866
46002-P-SO-KF0-015,3,2026,2026-01-15,27776.424688130166
46002-P-SO-KF0-015,3,2026,2026-03-15,55397.42638732749
46002-P-SO-KF0-015,3,2024,2024-12-15,20671.474504581598
46002-P-SO-KF0-015,3,2026,2026-01-15,58815.21330825447
