iatiidentifier,donor,x1_donor_type,modality,recipient_main,complete_flag,y1_gap_full,y2_early_days,commitment_usd_full,s1_share,s2_hhi_net,s3_n_donors,n_years_obs,withheld
DE-1-200770347,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",Bilateral,A01_general,MW,1,0,0,569700,0.5070049243847099,0.9721765783237024,1.5,1,0
DE-1-200970418,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",Bilateral,A01_general,MW,1,0,0,3670476.194736,0.6750427963003686,0.9503746581265541,1.3333333333333333,1,0
DE-1-200970012,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",Bilateral,A01_general,MZ,1,-2.220446049250313e-16,0,3418200,0.07363805128428165,0.27244228637639467,7,1,0
46002-P-SC-K00-015,African Development Bank,Multilateral,A01_general,SC,1,0.02962952397659846,0,9910861.722223956,0.3045134693182473,0.4837015143597405,2,1,0
DE-1-201265248,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",Bilateral,A01_general,MZ,1,0,0,5697000,0.07363805128428165,0.27244228637639467,7,1,0
DE-1-201270370,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",Bilateral,A01_general,MZ,1,0,0,9115200,0.06534286597560612,0.3483786680824729,5.5,1,0
DE-1-201366632,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",Bilateral,A01_general,MZ,1,0,0,12533400,0.07363805128428165,0.27244228637639467,7,1,0
46002-P-SC-K00-004,African Development Bank,Multilateral,A01_general,SC,1,0.0836014250123519,0,19767980.206317544,1,NA,1,1,0
46002-P-SC-K00-005,African Development Bank,Multilateral,A01_general,SC,1,0.02621109734785287,0,9910861.722223956,0.6587283970727809,0.11646630696451354,2,1,0
46002-P-SC-K00-022,African Development Bank,Multilateral,A01_general,SC,1,0.03263530208950804,251,19821723.458008945,0.35394358541551474,0.4173888908257603,2,1,0
46002-P-SC-K00-023,African Development Bank,Multilateral,A01_general,SC,1,-0.04139552908215926,129,24777154.32590144,1,NA,1,1,0
46002-P-SC-K00-024,African Development Bank,Multilateral,A01_general,SC,1,-0.02662545862321774,251,32705843.70639281,1,NA,1,1,0
46002-P-SO-K00-003,African Development Bank,Multilateral,A01_general,SO,1,0.03200231573033696,303,120693185.71697856,0.2027472919432803,0.6356118805037733,2,1,0
46002-P-SL-KA0-017,African Development Bank,Multilateral,A01_general,SL,1,0,0,24409857.785456337,0.19378233281842802,0.6499869268756961,2,1,0
46002-P-SL-KA0-016,African Development Bank,Multilateral,A01_general,SL,1,0,0,20341548.15454695,0.33895619139953137,0.43697891688901314,2,1,0
46002-P-SL-KA0-013,African Development Bank,Multilateral,A01_general,SL,1,0,365,5424412.841212519,0.06753788464270191,0.5309154978123929,3,1,0
46002-P-SL-AA0-023,African Development Bank,Multilateral,A01_general,SL,1,0,-213,2034154.815454695,0.01919164779463118,0.961985023755811,2,1,0
46002-P-ZA-K00-005,African Development Bank,Multilateral,A01_general,ZA,1,0.04507705976407139,0,305242621.42887175,1,NA,1,1,0
46002-P-ZA-K00-006,African Development Bank,Multilateral,A01_general,ZA,1,-0.01454814726781683,-412,299936569.1944883,1,NA,1,1,0
46002-P-SS-I00-006,African Development Bank,Multilateral,A01_general,SS,1,0,59,1356103.21030313,1,NA,1,1,0
46002-P-SS-I00-003,African Development Bank,Multilateral,A02_sector,SS,1,0,-36,17425926.25239522,1,NA,1,1,0
46002-P-SS-A00-001,African Development Bank,Multilateral,A02_sector,SS,1,0,-731,8136619.26181878,1,NA,1,1,0
46002-P-SN-KA0-014,African Development Bank,Multilateral,A01_general,SN,1,0.04935289459648018,365,72027101.07172838,0.1582468929812206,0.6949903264074596,3,1,0
46002-P-SN-KA0-009,African Development Bank,Multilateral,A01_general,SN,1,0,365,47165269.65434286,0.6262445408981856,0.13969314320840803,2,1,0
46002-P-SN-K00-013,African Development Bank,Multilateral,A01_general,SN,1,0.03820285596157924,184,101414158.31420098,0.46207689873002483,0.23483950205670648,4,1,0
46002-P-SN-A00-022,African Development Bank,Multilateral,A01_general,SN,1,0.05361950640652313,-217,139383388.6985071,0.2468832622531565,0.5905700983299541,2,1,0
46002-P-SN-KA0-018,African Development Bank,Multilateral,A01_general,SN,1,0.12524315220630566,96,79086688.97908483,0.3998057186011574,0.360233175423873,2,1,0
46002-P-SN-KA0-019,African Development Bank,Multilateral,A01_general,SN,1,0.03220409841360028,-557,85641605.49059069,0.3998057186011574,0.360233175423873,2,1,0
DE-1-201265743,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",Bilateral,A02_sector,PE,1,0,0,17091000,0.05225151410463755,0.898227192516952,2,1,0
DE-1-201265750,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",Bilateral,A02_sector,PE,1,0,0,34182000,0.11891984116477276,0.7807469121261064,2,1,0
