iatiidentifier,donor_ref,donor,x1_donor_type,modality,status_code,status_name,recipient_main,commitment_usd,disbursement_usd,n_disb_years,first_disb_year,last_disb_year,y1_gap,planned_end,actual_end,y2_early_days,budget_orig,budget_ccy,n_budget_lines,cp_eligible,planned_start,actual_start
44000-P101177,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,PE,0,310000000.0,1,2015,2015,,2015-09-08,2015-09-08,0,-248265705.46,USD,100,0,2008-03-20,2009-04-09
44000-P101471,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,PE,0,310000000.0,1,2015,2015,,2015-09-08,2015-09-08,0,25478167.96,USD,100,0,2008-05-18,2009-02-17
44000-P110836,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,TZ,,,,,,,2014-06-30,2014-06-30,0,-127233478.16,USD,4,0,2012-05-01,2013-03-26
44000-P111926,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,CR,0,31017000.0,1,2017,2017,,2017-10-30,2017-10-30,0,23994277.780000005,USD,102,0,2008-09-30,2008-09-16
44000-P112346,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,EG,0,100000000.0,1,2015,2015,,2015-03-31,2015-03-31,0,115372502.37999998,USD,100,0,2009-04-16,2009-09-24
44000-P120536,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,TZ,85000000.0,85488870.0,1,2014,2014,-0.0057514117647058825,2015-06-30,2015-06-30,0,-151652121.42,USD,4,0,2013-05-07,2014-03-27
44000-P120566,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,MA,,,,,,,2012-12-31,2012-12-31,0,-109850185.26,USD,4,0,2011-07-15,2012-06-12
44000-P120860,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,PE,-100000000.0,0.0,0,,,,2019-12-09,2019-12-09,0,0.0,USD,98,0,2010-09-15,2010-12-09
44000-P122667,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,VN,,,,,,,2012-09-30,2012-09-30,0,-51726041.3,USD,100,0,2011-07-14,2012-02-02
44000-P122738,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,PA,0,66000000.0,2,2016,2020,,2021-06-30,2021-06-30,0,18441603.18,USD,4,0,2011-07-14,2011-10-18
44000-P122793,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,VN,,,,,,,2014-01-30,2014-01-30,0,-201931923.28,USD,4,0,2012-06-28,2013-03-19
44000-P123352,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,NG,200000000.0,197996752.0,1,2014,2014,0.01001624,2015-05-31,2015-05-31,0,-236656431.2,USD,4,0,2011-09-29,2014-03-27
44000-P123353,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,NG,,,,,,,2014-06-30,2014-06-30,0,-122311123.14,USD,4,0,2011-09-29,2012-03-29
44000-P124041,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,IN,,,,,,,2013-09-30,2013-09-30,0,-22809395.92,USD,4,0,2011-11-10,2012-09-06
44000-P124174,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,VN,,,,,,,2013-07-31,2013-07-31,0,-112828014.14,USD,100,0,2011-12-07,2012-03-22
44000-P125202,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,SC,0,0.0,0,,,,2013-06-30,2013-06-30,0,-6713708.32,USD,4,0,2012-04-25,2012-09-20
44000-P125272,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,NE,,,,,,,2013-06-30,2013-06-30,0,-83132311.62,USD,4,0,2012-03-27,2012-06-26
44000-P125694,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,MU,,,,,,,2012-12-31,2012-12-31,0,-2280134.96,USD,4,0,2011-12-15,2012-03-27
