iatiidentifier,year,commitment_usd,disbursement_usd,n_disb_tx
DE-1-200770347,2016,0,203593.689,1
DE-1-200770347,2015,0,366106.3110000001,1
DE-1-200970418,2017,0,2172076.0252920003,1
DE-1-200970418,2018,0,1026021.78117,1
DE-1-200970418,2016,0,472378.388274,1
DE-1-200970012,2014,0,226630.727658,1
46002-P-SC-K00-015,2020,9910861.722223956,9617207.60719657,1
DE-1-201265248,2014,0,5697000,1
DE-1-201270370,2014,0,2848500,1
DE-1-201270370,2016,0,2278800,1
DE-1-201366632,2014,0,12533400,1
46002-P-SC-K00-004,2014,0,9309483.894240225,1
46002-P-SC-K00-005,2016,0,9651087.160821635,1
46002-P-SC-K00-005,2015,9910861.722223956,0,0
46002-P-SC-K00-022,2021,19821723.458008945,19174835.525022134,1
46002-P-SC-K00-023,2023,0,25802817.73837244,1
46002-P-SC-K00-023,2022,24777154.32590144,0,0
46002-P-SC-K00-024,2023,32705843.70639281,0,0
46002-P-SO-K00-003,2020,120693185.71697856,116830724.28116362,1
46002-P-SO-AA0-009,2022,5424412.841212519,0,0
46002-P-SO-AA0-009,2023,0,102060.84292663349,1
46002-P-SO-KF0-015,2023,13561032.1030313,0,0
46002-P-SL-KA0-017,2020,24409857.785456337,24409857.785456337,2
46002-P-SL-KA0-016,2019,20341548.15454695,20341548.15454695,1
46002-P-SL-KA0-013,2014,5424412.841212519,5424412.841212519,1
46002-P-SL-AA0-023,2022,2034154.815454695,2034154.815454695,1
46002-P-SL-KF0-013,2023,1356103.21030313,251473.16203941652,1
46002-P-ZA-K00-005,2020,305242621.42887175,291483181.5401807,1
46002-P-ZA-K00-006,2023,299936569.1944883,304300090.57413346,1
46002-P-SS-I00-006,2022,0,678051.6051515649,1
46002-P-SS-I00-006,2020,1356103.21030313,678051.6051515649,1
46002-P-SS-I00-003,2023,0,3485185.2504790435,2
46002-P-SS-I00-003,2020,0,6970370.500958087,2
46002-P-SS-I00-003,2022,0,6970370.500958087,2
46002-P-SS-I00-003,2019,17425926.25239522,0,0
46002-P-SS-AAZ-001,2021,13561032.1030313,4068309.63090939,2
46002-P-SS-AAZ-001,2023,0,4068309.63090939,2
46002-P-SS-I00-009,2022,2034154.815454695,813661.926181878,1
46002-P-SS-I00-009,2023,0,813661.926181878,1
46002-P-SS-I00-008,2022,7322957.335636902,2196887.2006910704,1
46002-P-SS-I00-008,2023,0,2196887.2006910704,1
46002-P-SS-A00-001,2023,0,3254647.704727512,1
46002-P-SS-A00-001,2022,8136619.26181878,4068309.63090939,1
46002-P-SS-A00-002,2023,5831243.804303459,2332497.5217213836,1
46002-P-SN-KA0-014,2019,72027101.07172838,68472355.14444534,1
46002-P-SN-KA0-016,2021,74908185.11351264,72060577.41518593,2
46002-P-SN-KA0-009,2016,47165269.65434286,47165269.65434286,1
46002-P-SN-K00-013,2020,101414158.31420098,97539847.83165877,1
