iati_identifier,url,category
44000-P163318,http://documents.worldbank.org/curated/en/535161513628928410/pdf/ITK425962-201711181521.pdf,A05
44000-P174527,https://documents.worldbank.org/curated/en/099082025140040105/pdf/P174527-2722b575-389d-4383-b09c-3ac983f9c47f.pdf,A07
44000-P175360,https://documents.worldbank.org/curated/en/099063025202542666/pdf/BOSIB-cd2e854e-1bbb-4560-8b82-33b804eff317.pdf,A07
44000-P147913,http://documents.worldbank.org/curated/en/591741468020927286/pdf/ICR31140ICR0P1264650Box0385294B00PUBLIC0.pdf,A07
44000-P178481,https://documents.worldbank.org/curated/en/099053024090579590/pdf/BOSIB-c913597d-dc92-4886-8ce4-1a0a4cd51067.pdf,A05
46002-P-TG-KA0-004,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Ftogo-programme_dappui_a_lagrobusiness_et_aux_finances_publiques_paafip_-phase_i_0.pdf#page=5&zoom=auto,-14,499",A05
46002-P-MA-IAD-003,https://www.afdb.org/sites/default/files/documents/projects-and-operations/maroc_-_programme_dappui_a_la_transformation_pour_une_universite_marocaine_digitale_entrepreneuriale_programme_um4.0_-_eer_novembre_2025.pdf,A07
46002-P-CM-K00-009,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fcameroun_-_programme_dappui_a_la_competitivite_economique_pacce_i_ii_et_iii_-_rapport_dachevement_de_projet.pdf#page=1&zoom=auto,-13,792",A07
46002-P-KE-A00-002,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fkenya_-_african_emergency_food_production_facility_aefpf-k_-_project_appraisal_report.pdf#page=12&zoom=auto,-13,392",A05
46002-P-NE-KA0-012,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fniger_-_programme_dappui_aux_reformes_et_a_la_resilience_economique_parre_-_rapport_dachevement_de_projet.pdf#page=1&zoom=auto,-13,842",A07
XI-IATI-IADB-AR-L1268,https://www.iadb.org/document.cfm?id=EZSHARE-677145234-37,A05
XI-IATI-IADB-PE-L1223,https://www.iadb.org/document.cfm?id=EZSHARE-504778069-60,A07
XI-IATI-IADB-BR-L1374,https://www.iadb.org/document.cfm?id=EZSHARE-1185062258-14,A05
XI-IATI-IADB-BH-U0001,https://www.iadb.org/document.cfm?id=EZSHARE-1935439894-44,A05
XI-IATI-IADB-CO-L1142,https://www.iadb.org/document.cfm?id=EZSHARE-1678957924-98,A05
