iatiidentifier,country
DE-1-200770347,MW
DE-1-200970418,MW
46002-P-NA-HAA-006,NA
DE-1-200970012,MZ
46002-P-SC-K00-015,SC
DE-1-201265248,MZ
DE-1-201270370,MZ
DE-1-201366632,MZ
46002-P-SC-K00-004,SC
46002-P-SC-KA0-001,SC
46002-P-SC-K00-005,SC
46002-P-SC-K00-022,SC
46002-P-SC-K00-023,SC
46002-P-SC-K00-024,SC
46002-P-SC-K00-025,SC
46002-P-SC-K00-028,SC
46002-P-SO-K00-003,SO
46002-P-SO-AA0-009,SO
46002-P-SO-KF0-015,SO
46002-P-SO-E00-009,SO
46002-P-SO-E00-005,SO
46002-P-SL-KA0-017,SL
46002-P-SL-KA0-016,SL
46002-P-SL-KA0-005,SL
46002-P-SL-KA0-013,SL
46002-P-SL-AA0-023,SL
46002-P-SL-KF0-013,SL
46002-P-ZA-K00-005,ZA
46002-P-ZA-K00-006,ZA
46002-P-ZA-F00-013,ZA
46002-P-SS-I00-006,SS
46002-P-SS-I00-003,SS
46002-P-SS-AAZ-001,SS
46002-P-SS-I00-009,SS
46002-P-SS-I00-008,SS
46002-P-SS-A00-001,SS
46002-P-SS-A00-002,SS
46002-P-SS-I00-005,SS
46002-P-SS-I00-010,SS
46002-P-SS-I00-011,SS
46002-P-SS-I00-014,SS
46002-P-SN-KA0-014,SN
46002-P-SN-KA0-016,SN
46002-P-SN-KA0-009,SN
46002-P-SN-K00-005,SN
46002-P-SN-K00-006,SN
46002-P-SN-K00-008,SN
46002-P-SN-KA0-005,SN
46002-P-SN-K00-013,SN
46002-P-SN-BG0-001,SN
46002-P-SN-A00-022,SN
46002-P-SN-KA0-018,SN
46002-P-SN-KA0-019,SN
DE-1-201265743,PE
DE-1-201265750,PE
DE-1-201266287,PE
46002-P-SD-KF0-006,SD
46002-P-SD-K00-007,SD
46002-P-SD-AAB-005,SD
46002-P-SD-I00-010,SD
46002-P-SD-AA0-009,SD
46002-P-SD-I00-008,SD
46002-P-SZ-K00-005,SZ
46002-P-SZ-AA0-013,SZ
46002-P-SZ-K00-008,SZ
46002-P-TG-KA0-002,TG
46002-P-TG-KZ0-002,TG
46002-P-TG-AA0-015,TG
46002-P-TG-KA0-004,TG
46002-P-TZ-K00-016,TZ
46002-P-TZ-AA0-025,TZ
46002-P-TZ-KA0-002,TZ
46002-P-TZ-KA0-005,TZ
46002-P-TZ-AAZ-002,TZ
DE-1-201170315,RW
46002-P-TZ-IAC-002,TZ
46002-P-TZ-K00-007,TZ
46002-P-TZ-K00-008,TZ
46002-P-TZ-K00-009,TZ
46002-P-TZ-K00-011,TZ
46002-P-TZ-K00-013,TZ
46002-P-TZ-K00-014,TZ
46002-P-TZ-KA0-007,TZ
46002-P-TZ-K00-018,TZ
46002-P-TZ-HAA-004,TZ
46002-P-TZ-K00-019,TZ
46002-P-TZ-K00-020,TZ
46002-P-TN-HZ0-005,TN
46002-P-TN-IAZ-003,TN
46002-P-TN-IAZ-002,TN
46002-P-TN-HA0-004,TN
46002-P-TN-HAA-030,TN
46002-P-TN-IZ0-001,TN
46002-P-TN-IZ0-006,TN
DE-1-201265115,TZ
DE-1-201270040,TZ
46002-P-TN-KA0-003,TN
46002-P-TN-IZ0-008,TN
46002-P-TN-HZ0-002,TN
46002-P-TN-I00-012,TN
46002-P-TN-K00-018,TN
46002-P-TN-I00-022,TN
46002-P-UG-K00-009,UG
DE-1-201070259,UG
46002-P-UG-K00-006,UG
46002-P-UG-E00-012,UG
DE-1-201165828,ZM
BJ-IFU-6201001076902-RSG0123375-29295,BJ
BJ-IFU-6200901944209-RSG0123375-29295,BJ
BJ-IFU-6201001843703-RGS0123375-29295,BJ
46002-P-ZW-KZ0-001,ZW
46002-P-ZW-AA0-021,ZW
46002-P-ZW-I00-004,ZW
46002-P-ZW-AA0-024,ZW
46002-P-ZM-K00-002,ZM
46002-P-ZM-KA0-001,ZM
46002-P-ZM-IZ0-002,ZM
46002-P-ZM-K00-003,ZM
46002-P-ZM-KA0-004,ZM
46002-P-ZM-K00-006,ZM
XM-DAC-6-4-011639-02-5,BF
XM-DAC-6-4-011005-01-3,BF
XM-DAC-6-4-010877-02-0,BF
XM-DAC-6-4-010888-01-0,BO
XM-DAC-6-4-013158-01-1,CG
BJ-IFU-6201000370801-RSG0123375-29295,BJ
BJ-IFU-6201300688700-RSG0123375-29295,BJ
XI-IATI-CWSEC-Q0104,TO
XI-IATI-CWSEC-Q0201,TT
XI-IATI-CWSEC-Q0301,NZ
XI-IATI-CWSEC-Q0304,NA
XI-IATI-CWSEC-Q0305,GH
XI-IATI-CWSEC-Q0306,SC
XI-IATI-CWSEC-Q0308,GH
XI-IATI-CWSEC-Q0501,GB
XI-IATI-CWSEC-Q0502,MU
XI-IATI-CWSEC-Q0503,NU
XI-IATI-CWSEC-Q0601,GB
XI-IATI-CWSEC-Q0701,NA
XI-IATI-CWSEC-Q0801,BD
XI-IATI-CWSEC-Q0802,GB
XI-IATI-CWSEC-Q0901,KN
XI-IATI-CWSEC-Q1101,GB
XI-IATI-CWSEC-Q1203,SZ
XI-IATI-CWSEC-Q1303,BD
XI-IATI-CWSEC-Q0603,KE
XI-IATI-CWSEC-Q0803,GB
XI-IATI-CWSEC-Q1001,MU
XI-IATI-CWSEC-R11P04,FJ
XI-IATI-CWSEC-R11P05,GY
XI-IATI-CWSEC-R11P06,TT
XI-IATI-CWSEC-R11P07,LS
XI-IATI-CWSEC-R11P09,ZA
XI-IATI-CWSEC-R12P01,KE
XI-IATI-CWSEC-R21P01,SB
XI-IATI-CWSEC-R22P01,MV
XI-IATI-CWSEC-R31P01,AG
XI-IATI-CWSEC-R32P01,NG
XI-IATI-CWSEC-R43P01,KE
XI-IATI-CWSEC-Q1301,BZ
XI-IATI-CWSEC-Q1302,KE
XI-IATI-CWSEC-Q1401,BB
XI-IATI-CWSEC-R11P03,TZ
XI-IATI-CWSEC-R32P02,UG
XI-IATI-CWSEC-R44P01,BD
XI-IATI-CWSEC-R71P03,UG
XM-DAC-6-4-010152-01-5,EC
XM-DAC-6-4-009659-01-6,EG
XM-DAC-6-4-011598-01-6,GN
XM-DAC-6-4-011835-01-4,ET
XM-DAC-6-4-011764-02-3,ET
XM-DAC-6-4-011389-02-2,ET
XM-DAC-6-4-010081-01-3,ET
XM-DAC-6-4-013015-01-0,ET
XM-DAC-6-4-011755-03-0,ET
BJ-IFU-4201710012551-RGS0123375-29295,BJ
BJ-IFU-6201501755307-RSG0123375-29295,BJ
BJ-IFU-5200801335602-RSG0123375-29295,BJ
XM-DAC-6-4-010718-02-4,ET
XM-DAC-6-4-010418-01-5,ET
XM-DAC-6-4-012316-01-0,ET
XM-DAC-3-1-185092-24540,TZ
XM-DAC-3-1-187132-24323,MZ
XM-DAC-3-1-191966-24982,BT
XM-DAC-3-1-107049-16394,BF
XM-DAC-3-1-114412-14709,NP
XM-DAC-3-1-144397-20541,BJ
XM-DAC-3-1-160285-21566,BT
XM-DAC-3-1-172859-23033,BF
XM-DAC-3-1-174458-24297,GH
XM-DAC-3-1-204943-27743,UG
XM-DAC-3-1-209288-26075,BF
XM-DAC-3-1-209288-26078,BF
XM-DAC-3-1-229249-29282,TZ
XM-DAC-3-1-255454-30798,BF
XM-DAC-3-1-255454-31740,BF
XM-DAC-3-1-255454-31741,BF
XM-DAC-6-4-010693-01-2,ML
XM-DAC-6-4-010084-02-3,ML
XM-DAC-6-4-010496-02-1,LB
XM-DAC-3-1-49056-19443,MZ
XM-DAC-6-4-010680-01-4,SL
XM-DAC-6-4-012620-01-0,SO
XM-DAC-6-4-011068-01-3,SN
XM-DAC-6-4-010733-01-5,SN
XM-DAC-6-4-011649-01-3,MZ
XM-DAC-6-4-010997-01-1,MZ
XM-DAC-6-4-009147-01-4,MZ
XM-DAC-6-4-008465-03-0,MZ
XM-DAC-6-4-010997-03-3,MZ
XM-DAC-6-4-011097-01-5,MZ
XM-DAC-6-4-010049-01-2,MZ
XM-DAC-6-4-009696-03-5,SV
XM-DAC-6-4-012041-01-3,SV
XM-DAC-6-4-010497-01-2,SV
XM-DAC-6-4-011023-01-4,SV
XM-DAC-6-4-012586-01-0,UA
XM-DAC-6-4-010408-01-6,VN
XM-DAC-6-4-010519-02-5,VN
XM-DAC-6-4-009614-01-0,VN
XM-DAC-6-4-010607-01-5,TN
XM-DAC-6-4-010744-01-6,TN
XM-DAC-6-4-010419-01-0,TN
XI-IATI-EC_INTPA-2023-ACT-61831,AW
XI-IATI-EC_INTPA-2021-PCC-427597,BB
XI-IATI-EC_INTPA-2023-PC-23134,AO
XI-IATI-EC_INTPA-2022-ACT-61306,AO
XI-IATI-EC_INTPA-2023-PC-23130,AO
XI-IATI-EC_INTPA-2025-PC-55044,AO
XI-IATI-EC_INTPA-2023-PC-23139,AO
XI-IATI-EC_INTPA-2023-ACT-61724,BD
XI-IATI-EC_INTPA-2022-PC-21502,BD
XI-IATI-EC_INTPA-2018-ACT-D-40701-00,BD
XI-IATI-EC_INTPA-2018-ACT-D-40643-00,BD
XI-IATI-EC_INTPA-2017-ACT-D-39656-00,BD
XI-IATI-EC_INTPA-2021-ACT-62576,BD
XI-IATI-EC_INTPA-2021-ACT-61116,BD
XI-IATI-EC_INTPA-2019-PCC-410060,BD
XI-IATI-EC_INTPA-2018-PCC-404409,BD
XI-IATI-EC_INTPA-2025-PC-36947,BD
XI-IATI-EC_INTPA-2025-PC-26320,BD
XI-IATI-EC_INTPA-2022-ACT-60736,BL
XI-IATI-EC_INTPA-2023-PC-25058,BL
XI-IATI-EC_INTPA-2008-ACT-D-20972-01,BF
XI-IATI-EC_INTPA-2021-ACT-61083,BF
XI-IATI-EC_INTPA-2016-ACT-D-38574-01,BF
XI-IATI-EC_INTPA-2020-PCC-417520,BF
XI-IATI-EC_INTPA-2023-PC-27358,BF
XI-IATI-EC_INTPA-2021-PCC-417549,BF
XI-IATI-EC_INTPA-2016-ACT-D-38564-01,BF
XI-IATI-EC_INTPA-2016-ACT-D-38569-00,BF
XI-IATI-EC_INTPA-2016-ACT-D-38575-00,BF
XI-IATI-EC_INTPA-2022-PC-21515,BF
XI-IATI-EC_INTPA-2019-ACT-D-42209-00,BF
XI-IATI-EC_INTPA-2019-PCC-407596,BF
XI-IATI-EC_INTPA-2019-PCC-404038,BF
XI-IATI-EC_INTPA-2021-PCC-422434,BF
XI-IATI-EC_INTPA-2018-PCC-383693,BF
XI-IATI-EC_INTPA-2018-PCC-397536,BF
XI-IATI-EC_INTPA-2023-PC-25538,BO
XI-IATI-EC_INTPA-2019-ACT-D-40019-00,BO
XI-IATI-EC_INTPA-2020-ACT-D-38966-00,BO
XI-IATI-EC_INTPA-2020-ACT-D-40118-00,BO
XI-IATI-EC_INTPA-2019-PCC-410047,BO
XI-IATI-EC_INTPA-2014-ACT-D-25027-00,BO
XI-IATI-EC_INTPA-2023-ACT-60734,BO
XI-IATI-EC_INTPA-2019-PCC-409406,BO
XI-IATI-EC_INTPA-2021-PCC-428633,BO
XI-IATI-EC_INTPA-2024-PC-25551,BO
XI-IATI-EC_INTPA-2021-PCC-428501,BO
XI-IATI-EC_INTPA-2023-ACT-61699,BJ
XI-IATI-EC_INTPA-2022-ACT-61508,BJ
XI-IATI-EC_INTPA-2024-PC-26908,BJ
XI-IATI-EC_INTPA-2023-PC-25147,BJ
XI-IATI-EC_INTPA-2023-PC-41431,BJ
XI-IATI-EC_INTPA-2023-PC-25043,BJ
XI-IATI-EC_INTPA-2024-PC-25155,BJ
XI-IATI-EC_INTPA-2023-PC-25042,BJ
XI-IATI-EC_INTPA-2022-PC-20222,BT
XI-IATI-EC_INTPA-2023-PC-27590,BT
XI-IATI-EC_INTPA-2022-ACT-60987,BT
XI-IATI-EC_INTPA-2021-ACT-61078,BT
XI-IATI-EC_INTPA-2024-PC-27708,BT
XI-IATI-EC_INTPA-2023-PC-27690,BT
XI-IATI-EC_INTPA-2023-PC-27689,BT
XI-IATI-EC_INTPA-2023-PC-18126,CF
XI-IATI-EC_INTPA-2020-ACT-D-42401-00,CF
XI-IATI-EC_INTPA-2022-PCC-436209,CF
XI-IATI-EC_INTPA-2023-PC-25426,CF
XI-IATI-EC_INTPA-2023-ACT-62014,CI
XI-IATI-EC_INTPA-2024-PC-37405,CI
XI-IATI-EC_INTPA-2021-PC-1116,CM
XI-IATI-EC_INTPA-2024-PC-36292,CM
XI-IATI-EC_INTPA-2017-ACT-D-40031-01,CM
XI-IATI-EC_INTPA-2024-ACT-62007,CM
XI-IATI-EC_INTPA-2022-ACT-D-44510-00,CM
XI-IATI-EC_INTPA-2022-PC-21486,CM
XI-IATI-EC_INTPA-2026-PC-83853,CM
XI-IATI-EC_INTPA-2021-PC-7879,CM
XI-IATI-EC_INTPA-2019-PCC-408616,CM
XI-IATI-EC_INTPA-2022-PC-16749,CM
XI-IATI-EC_INTPA-2023-PC-21484,CM
XI-IATI-EC_INTPA-2025-PC-36398,CM
XI-IATI-EC_INTPA-2023-PC-32262,CM
XI-IATI-EC_INTPA-2019-PCC-412775,CM
XI-IATI-EC_INTPA-2023-PC-18143,CM
XI-IATI-EC_INTPA-2020-ACT-D-42454-00,CO
XI-IATI-EC_INTPA-2019-ACT-D-41517-00,CO
XI-IATI-EC_INTPA-2015-ACT-D-38302-01,CO
XI-IATI-EC_INTPA-2022-ACT-61483,CO
XI-IATI-EC_INTPA-2021-ACT-61633,CO
XI-IATI-EC_INTPA-2015-ACT-D-38302-02,CO
XI-IATI-EC_INTPA-2024-PC-53145,CO
XI-IATI-EC_INTPA-2020-PCC-416581,CO
XI-IATI-EC_INTPA-2024-PC-27309,CO
XI-IATI-EC_INTPA-2024-PC-27308,CO
XI-IATI-EC_INTPA-2021-PCC-428224,CO
XI-IATI-EC_INTPA-2021-ACT-63101,CV
XI-IATI-EC_INTPA-2025-PC-53764,CV
XI-IATI-EC_INTPA-2021-ACT-60940,CV
XI-IATI-EC_INTPA-2022-PC-24334,CV
XI-IATI-EC_INTPA-2021-PCC-430941,CV
XI-IATI-EC_INTPA-2018-ACT-D-40855-00,DM
XI-IATI-EC_INTPA-2018-ACT-D-41630-00,DM
XI-IATI-EC_INTPA-2022-ACT-61489,DO
XI-IATI-EC_INTPA-2018-ACT-D-39315-00,DO
XI-IATI-EC_INTPA-2019-ACT-D-41940-00,DO
XI-IATI-EC_INTPA-2022-PCC-431645,DO
XI-IATI-EC_INTPA-2016-ACT-D-39312-00,DO
XI-IATI-EC_INTPA-2023-PC-26293,DO
XI-IATI-EC_INTPA-2026-PC-26307,DO
XI-IATI-EC_INTPA-2020-ACT-D-38561-00,FJ
XI-IATI-EC_INTPA-2023-PC-36658,FJ
XI-IATI-EC_INTPA-2023-ACT-61606,FJ
XI-IATI-EC_INTPA-2025-PC-36663,FJ
XI-IATI-EC_INTPA-2024-PC-27305,GL
XI-IATI-EC_INTPA-2023-ACT-62246,GL
XI-IATI-EC_INTPA-2023-ACT-61910,GL
XI-IATI-EC_INTPA-2021-ACT-61102,GL
XI-IATI-EC_INTPA-2026-PC-38372,GL
XI-IATI-EC_INTPA-2022-PC-17800,GL
XI-IATI-EC_INTPA-2024-PC-37206,GL
XI-IATI-EC_INTPA-2019-ACT-D-41264-00,GM
XI-IATI-EC_INTPA-2024-PC-41558,GM
XI-IATI-EC_INTPA-2025-PC-50869,GM
XI-IATI-EC_INTPA-2023-ACT-61846,GM
XI-IATI-EC_INTPA-2024-PC-36587,GM
XI-IATI-EC_INTPA-2025-PC-49555,GM
XI-IATI-EC_INTPA-2021-PCC-429840,GM
XI-IATI-EC_INTPA-2023-PC-28421,GM
XI-IATI-EC_INTPA-2026-PC-75852,GM
XI-IATI-EC_INTPA-2024-PC-36591,GM
XI-IATI-EC_INTPA-2022-PC-21817,GM
XI-IATI-EC_INTPA-2016-ACT-D-38386-00,ET
XI-IATI-EC_INTPA-2019-ACT-D-40939-00,ET
XI-IATI-EC_INTPA-2019-PCC-413782,ET
XI-IATI-EC_INTPA-2019-PCC-409671,ET
XI-IATI-EC_INTPA-2018-PCC-397670,ET
XI-IATI-EC_INTPA-2017-PCC-392914,GN
XI-IATI-EC_INTPA-2017-ACT-D-39674-04,GN
XI-IATI-EC_INTPA-2022-ACT-61302,GY
XI-IATI-EC_INTPA-2023-PC-25625,GY
XI-IATI-EC_INTPA-2019-PCC-413519,HN
XI-IATI-EC_INTPA-2019-ACT-D-40840-00,HN
XI-IATI-EC_INTPA-2015-ACT-D-38103-00,HN
XI-IATI-EC_INTPA-2018-ACT-D-40697-00,HN
XI-IATI-EC_INTPA-2021-PCC-422992,HN
XI-IATI-EC_INTPA-2021-PCC-419116,HN
XI-IATI-EC_INTPA-2017-ACT-D-39148-00,HT
XI-IATI-EC_INTPA-2018-PCC-397120,HT
XI-IATI-EC_INTPA-2018-PCC-399023,HT
XI-IATI-EC_INTPA-2025-PC-55340,JM
XI-IATI-EC_INTPA-2019-ACT-D-42051-00,JM
XI-IATI-EC_INTPA-2015-ACT-D-38731-01,JM
XI-IATI-EC_INTPA-2022-ACT-60692,JM
XI-IATI-EC_INTPA-2020-PCC-421423,JM
XI-IATI-EC_INTPA-2017-ACT-D-39228-00,JM
XI-IATI-EC_INTPA-2022-PC-21579,JM
XI-IATI-EC_INTPA-2021-ACT-62799,JM
XI-IATI-EC_INTPA-2021-PCC-428606,JM
XI-IATI-EC_INTPA-2021-PCC-428618,JM
XI-IATI-EC_INTPA-2024-PC-37656,JM
XI-IATI-EC_INTPA-2026-PC-80732,JM
XI-IATI-EC_INTPA-2022-ACT-60599,KI
XI-IATI-EC_INTPA-2020-PCC-416132,KI
XI-IATI-EC_INTPA-2023-PC-31976,KI
XI-IATI-EC_INTPA-2020-PCC-416065,KI
XI-IATI-EC_INTPA-2025-PC-53379,KI
XI-IATI-EC_INTPA-2021-ACT-63136,KG
XI-IATI-EC_INTPA-2021-ACT-62577,KG
XI-IATI-EC_INTPA-2021-ACT-61001,KG
XI-IATI-EC_INTPA-2015-ACT-D-37809-00,KG
XI-IATI-EC_INTPA-2020-ACT-D-42335-00,KG
XI-IATI-EC_INTPA-2015-ACT-D-38149-00,KG
