donor_ref,donor,country,year,commit_year,disb_year,cum_commit,total_commit,s1_share,s2_hhi,s2_hhi_net,s3_n_donors,n_activities
44000,EN: World Bank,AF,2017,100000000,102811740,100000000,100000000,1,1,NA,1,1
44000,EN: World Bank,AF,2018,90000000,87578652,190000000,190000000,1,1,NA,1,1
44000,EN: World Bank,AF,2019,100000000,99738524,290000000,290000000,1,1,NA,1,1
44000,EN: World Bank,AF,2020,260000000,261096408,550000000,550000000,1,1,0,2,2
44000,EN: World Bank,AF,2021,132000000,131072400,682000000,682000000,1,1,0,2,1
44000,EN: World Bank,AL,2014,220000000,211791185,220000000,296050835.6266,0.7431156190941456,0.6182104084950593,0.06598958515338404,2,2
44000,EN: World Bank,AL,2017,170000000,177716470,390000000,390000000,1,1,NA,1,2
44000,EN: World Bank,AL,2019,10000000,0,400000000,771713741.6266,0.5183269111638331,0.500671751345614,0.2320089645089739,2,1
44000,EN: World Bank,AL,2020,80000000,10196123,480000000,949896078.581568,0.5053184351668867,0.5000565715052487,0.2447098505857377,2,2
44000,EN: World Bank,AL,2021,0,80000000,480000000,955847651.316762,0.502172076626185,0.5000094358337401,0.2478326412906851,2,1
44000,EN: World Bank,AL,2023,120000000,122531227,600000000,1183308360.389844,0.5070529543138937,0.5000544144740555,0.2429517159956079,3,1
44000,EN: World Bank,AM,2014,75000000,75000000,75000000,124000000,0.6048387096774194,0.5219823100936525,0.15615244536940687,2,1
44000,EN: World Bank,AM,2015,50000000,50000000,125000000,174000000,0.7183908045977011,0.5953890870656625,0.0793037389351301,2,1
44000,EN: World Bank,AM,2016,0,0,125000000,286788000,0.43586203048942074,0.43120282841608343,0.2412271187937227,3,1
44000,EN: World Bank,AM,2019,50000000,51055550,175000000,454000000,0.3854625550660793,0.5262376525839818,0.3776562712259116,2,1
44000,EN: World Bank,AM,2020,0,0,175000000,234953545.04923,0.7448280891583573,0.6198815864818652,0.0651127040825753,2,1
44000,EN: World Bank,AM,2023,100000000,103412920,275000000,781035504.167112,0.35209666978360615,0.3858978162553363,0.2619257513826305,3,1
44000,EN: World Bank,AO,2015,450000000,450000000,450000000,450000000,1,1,NA,1,1
44000,EN: World Bank,AO,2019,500000000,500000000,950000000,2103364123.4894705,0.4516574136597684,0.5046740113081255,0.30067959199429434,2,1
44000,EN: World Bank,AO,2021,700000000,700000000,1650000000,1650000000,1,1,NA,1,1
44000,EN: World Bank,AO,2022,500000000,500000000,2150000000,2218364000,0.9691826949950504,0.940264802565637,9.497062877681373e-4,2,4
44000,EN: World Bank,AO,2023,500000000,500000000,2650000000,3907133732.6062813,0.6782465565191439,0.5635436698218648,0.10352527839178849,2,1
44000,EN: World Bank,AR,2018,500000000,500000000,500000000,1200000000,0.4166666666666667,0.513888888888889,0.3402777777777778,2,1
44000,EN: World Bank,AR,2019,500000000,0,1000000000,2200000000,0.45454545454545453,0.5041322314049586,0.2975206611570247,2,1
44000,EN: World Bank,AR,2020,0,0,1000000000,1000000000,1,1,NA,1,1
44000,EN: World Bank,BA,2014,50000000,0,50000000,50000000,1,1,NA,1,1
44000,EN: World Bank,BA,2015,0,42492510,50000000,50000000,1,1,NA,1,1
44000,EN: World Bank,BA,2017,80000000,0,130000000,130000000,1,1,NA,1,1
44000,EN: World Bank,BA,2018,0,91811444,130000000,130000000,1,1,NA,1,1
44000,EN: World Bank,BA,2019,0,0,130000000,130000000,1,1,NA,1,2
44000,EN: World Bank,BA,2023,100000000,0,230000000,309832021.873004,0.7423377306503003,0.6173321495221924,0.06626684317515463,3,1
44000,EN: World Bank,BB,2021,100000000,100000000,100000000,404044870,0.2474972643508628,0.6126491775832801,0.5513942817221192,3,1
44000,EN: World Bank,BB,2023,100000000,100000000,200000000,800000000,0.25,0.625,0.5625,2,1
44000,EN: World Bank,BD,2018,250000000,0,250000000,884547500,0.28263038446211197,0.3487580674787595,0.26887813325755827,5,1
44000,EN: World Bank,BD,2019,0,251384067,250000000,500000000,0.5,0.5,0.25,2,1
44000,EN: World Bank,BD,2020,250000000,252073350,500000000,1678266278,0.29792650102929613,0.3535893950013317,0.2648291949857725,3,1
44000,EN: World Bank,BD,2021,250000000,248695888,750000000,2542206278,0.295019332809625,0.3742933205354172,0.2872569138039809,3,1
44000,EN: World Bank,BD,2022,250000000,242652069,1000000000,2590000000,0.3861003861003861,0.5259462440929622,0.37687273594609494,2,1
44000,EN: World Bank,BD,2023,500000000.00000006,507698759,1500000000,4651345121.403206,0.32248735814028007,0.3849562319229757,0.2809581357626784,4,1
44000,EN: World Bank,BF,2014,0,100234568,0,27122064.206062596,0,1,1,3,1
44000,EN: World Bank,BF,2015,100000000,99019092,100000000,166559399.3480858,0.6003864110425495,0.47199464884696374,0.11153080628241052,4,1
44000,EN: World Bank,BF,2016,100000000,97208309,200000000,645505400,0.30983474344288986,0.572325649602863,0.47632808135854166,3,2
44000,EN: World Bank,BF,2017,75000000,0,275000000,736778490.7759606,0.37324650955862654,0.5052429925753132,0.36593003567761534,4,1
44000,EN: World Bank,BF,2018,0,78663306,275000000,827019252.0113565,0.3325194659388942,0.4161612971709082,0.30559210194262076,5,1
44000,EN: World Bank,BF,2019,100000000,98155800,375000000,955504252.0113565,0.3924629317039847,0.4120035235060815,0.25797637074439494,5,2
44000,EN: World Bank,BF,2020,247950000,150469970,622950000,1313214515.1044996,0.4743703277985992,0.40024615139752673,0.17521894350177625,5,2
44000,EN: World Bank,BF,2021,200000000,102001894,822950000,1557548534.6810179,0.5283623474170185,0.4850268200127987,0.20586004984477652,3,2
44000,EN: World Bank,BF,2022,0,179408037,822950000,1533590226.177218,0.5366166176289271,0.4999634450211567,0.21200605070564654,3,1
