iatiidentifier,year,interrupted_flag,balance_owed,balance_share,disbursement_usd,commitment_usd,donor_ref,donor,x1_donor_type,modality,recipient_main,status_code,status_name,finance_type,flow_type,collaboration_type,finance_type_name,flow_type_name,collaboration_type_name,hierarchy,log_commitment,planned_duration_days,y2_early_days,y1_gap_full,s1_share,s2_hhi_net,s3_n_donors,cum_commit,disb_year,voice_account,corruption_ctrl,pol_stability,aid_dependence,gdp_pc,population,region,income_group,coup,coup_attempt,election_year,single_donor,log_gdp_pc,log_pop,net_degree,net_between,net_eigen,net_peers,net_peer_str
44000-P101177,2015,0,-310000000,NA,310000000,0,44000,EN: World Bank,Multilateral,A02_sector,PE,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,19.6146032124248,2728,0,0,0.3413409065502467,0.335217746400462,4,400000000,620000000,0.2727774,-0.5919962,-0.321351999999999,0.182663691741555,6231.71150338894,30457600,Latin America & Caribbean,Upper middle income,0,0,0,0,8.737406293698061,17.231846110468872,49,0.7217810348079607,1,11,60
44000-P101471,2015,0,-310000000,NA,310000000,0,44000,EN: World Bank,Multilateral,A02_sector,PE,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,19.6146032124248,2669,0,0,0.3413409065502467,0.335217746400462,4,400000000,620000000,0.2727774,-0.5919962,-0.321351999999999,0.182663691741555,6231.71150338894,30457600,Latin America & Caribbean,Upper middle income,0,0,0,0,8.737406293698061,17.231846110468872,49,0.7217810348079607,1,11,60
44000-P111926,2017,0,-31017000,NA,31017000,0,44000,EN: World Bank,Multilateral,A02_sector,CR,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,17.98989782785991,3317,0,0,NA,NA,1,0,31017000,1.1764736,0.5853521,0.7405908,0.173080123667091,12317.0902779911,4913177,Latin America & Caribbean,High income,0,0,0,1,9.418743030458431,15.407431337369328,38,0.595952151362322,1,11,45
44000-P112346,2015,0,-100000000,NA,100000000,0,44000,EN: World Bank,Multilateral,A02_sector,EG,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,19.519293032620475,2175,0,0,0,0.9935166731214158,3,0,100000000,-1.27674619999999,-0.5639736,-1.5178167,0.779979711205745,3306.98159414141,99597342,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,1,0,8.103791147239486,18.41664603545174,49,0.7217810348079607,1,11,60
44000-P120536,2014,0,-488870,-0.00575141176470588,85488870,85000000,44000,EN: World Bank,Multilateral,A02_sector,TZ,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,18.258161814454592,784,0,-0.00575141176470594,0.8031947388443774,0.02226516555799085,6,185000000,185919038,-0.167283799999999,-0.6311616,-0.5068917,5.35921223892237,1022.74841308594,50351512,Sub-Saharan Africa,Lower middle income,0,0,0,0,6.930248805193481,17.73453920646942,40,0.817440095789378,1,10,31
44000-P120860,2020,0,-100000000,NA,0,-100000000,44000,EN: World Bank,Multilateral,A02_sector,PE,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,NA,3372,0,NA,0.6963249808640454,0.08381974162226946,3,2950000000,1834319757,0.364213,-0.4980887,-0.2963963,0.249894242963778,6133.32552410183,32838579,Latin America & Caribbean,Upper middle income,0,0,1,0,8.72149238168389,17.307114571210363,73,0.650701274355751,1,10,98
44000-P122738,2016,0,-25000000,NA,25000000,0,44000,EN: World Bank,Multilateral,A02_sector,PA,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,18.0051652999907,3639,0,0,0.2307692307692308,0.591715976331361,2,300000000,25000000,0.4886932,-0.5035567,0.4612991,0.0406529815942433,14832.3611608191,4029086,Latin America & Caribbean,High income,0,0,0,0,9.60456663761834,15.209050109192637,40,0.6207013125828162,1,11,41
44000-P122738,2017,0,-25000000,NA,0,0,44000,EN: World Bank,Multilateral,A02_sector,PA,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,18.0051652999907,3639,0,0,NA,NA,NA,NA,NA,0.4645761,-0.558947899999999,0.457992,0.0689907767580841,15694.6297454295,4098707,Latin America & Caribbean,High income,0,0,0,NA,9.661073878391196,15.22618211608261,38,0.595952151362322,1,11,45
44000-P122738,2018,0,-25000000,NA,0,0,44000,EN: World Bank,Multilateral,A02_sector,PA,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,18.0051652999907,3639,0,0,0.1904761904761905,0.655328798185941,2,400000000,100000000,0.4994086,-0.5480745,0.364313,0.0631269263928982,16151.3273478476,4167860,Latin America & Caribbean,High income,0,0,0,0,9.689757513994708,15.242913272599768,42,0.5413065850651381,1,8,45
44000-P122738,2019,0,-25000000,NA,0,0,44000,EN: World Bank,Multilateral,A02_sector,PA,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,18.0051652999907,3639,0,0,NA,NA,NA,NA,NA,0.5255263,-0.543706599999999,0.399288,0.109465585438672,16477.9066285687,4234700,Latin America & Caribbean,High income,0,0,1,NA,9.709775770429616,15.258823045306489,53,0.6409087280099744,1,12,59
44000-P122738,2020,0,-66000000,NA,41000000,0,44000,EN: World Bank,Multilateral,A02_sector,PA,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,18.0051652999907,3639,0,0,0.23728813559322037,0.5817293881068658,2,700000000,341000000,0.5176533,-0.5190072,0.3368353,0.263992700855524,13290.5608347594,4293261,Latin America & Caribbean,High income,0,0,0,0,9.49480935057307,15.27255714200436,73,0.650701274355751,1,10,98
44000-P123352,2014,0,2003248,0.01001624,197996752,200000000,44000,EN: World Bank,Multilateral,A02_sector,NG,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,19.11382792451231,1340,0,0.01001624000000001,1,NA,1,200000000,299757307,-0.6329701,-1.29811949999999,-2.18554969999999,0.446576936763396,3088.72131316169,185896915,Sub-Saharan Africa,Lower middle income,0,0,0,1,8.035512469736158,19.040702857610455,40,0.817440095789378,1,10,31
44000-P125202,2022,0,0,NA,0,0,44000,EN: World Bank,Multilateral,A02_sector,SC,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,15.761420707019589,431,0,0,0.5745585428550425,0.18100043345762473,2,87000000,24999999.999999996,0.6695352,1.1495314,0.8411889,NA,16682.6990711785,119878,Sub-Saharan Africa,High income,0,0,0,0,9.722127477640989,11.694229837941414,62,0.6378585585115697,1,10,71
44000-P126274,2014,0,57398,0.00229592,24942602,25000000,44000,EN: World Bank,Multilateral,A02_sector,KG,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,17.034386382832476,919,0,0.00229592,0.5319148936170213,0.2191036668175645,2,25000000,24942602,-0.3187974,-1.17187739999999,-0.7066273,8.75186568238646,1264.52668823891,5905848,Europe & Central Asia,Lower middle income,0,0,0,0,7.142453171651559,15.5914536044157,40,0.817440095789378,1,10,31
44000-P126580,2014,0,-201249999.99999997,NA,201249999.99999997,0,44000,EN: World Bank,Multilateral,A02_sector,PH,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,20.5001222856322,1134,0,-2.220446049250313e-16,0.5454545454545454,0.2066115702479338,2,300000000,201249999.99999997,0.0760846999999999,-0.5826913,-0.805762,0.204192137960845,2866.83803761407,103767130,East Asia & Pacific,Upper middle income,0,0,0,0,7.960964972349751,18.45765981187992,40,0.817440095789378,1,10,31
44000-P126580,2015,0,-500000000,NA,298750000,0,44000,EN: World Bank,Multilateral,A02_sector,PH,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,20.5001222856322,1134,0,-2.220446049250313e-16,0.4,0.36,2,800000000,598750000,0.0294154,-0.590425299999999,-0.926818599999999,0.150804657152234,2909.85818010301,105312992,East Asia & Pacific,Upper middle income,0,0,0,0,7.975859623618142,18.47244735031013,49,0.7217810348079607,1,11,60
44000-P126580,2016,0,-500000000,NA,0,0,44000,EN: World Bank,Multilateral,A02_sector,PH,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,20.5001222856322,1134,0,-2.220446049250313e-16,0.35555555555555557,0.4153086419753087,2,800000000,2500000,0.0246542,-0.613111,-1.4376683,0.0801241958930269,2985.19564024046,106735719,East Asia & Pacific,Upper middle income,0,0,1,0,8.001420564798059,18.4858664212642,40,0.6207013125828162,1,11,41
44000-P126580,2017,0,-500000000,NA,0,0,44000,EN: World Bank,Multilateral,A02_sector,PH,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,20.5001222856322,1134,0,-2.220446049250313e-16,NA,NA,NA,NA,NA,-0.0946328999999999,-0.636865,-1.2792545,0.044000334670258,3038.12124959289,108119693,East Asia & Pacific,Upper middle income,0,0,0,NA,8.01899459335103,18.49874943993083,38,0.595952151362322,1,11,45
44000-P126580,2018,0,-500000000,NA,0,0,44000,EN: World Bank,Multilateral,A02_sector,PH,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,20.5001222856322,1134,0,-2.220446049250313e-16,0.23154848046309695,0.5905177378785753,2,800000000,497500000,-0.1655678,-0.6388345,-1.06677739999999,0.142619411483806,3168.51036609727,109465287,East Asia & Pacific,Upper middle income,0,0,0,0,8.06101684036853,18.511118043262737,42,0.5413065850651381,1,8,45
44000-P126580,2019,0,-500000000,NA,0,0,44000,EN: World Bank,Multilateral,A02_sector,PH,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,20.5001222856322,1134,0,-2.220446049250313e-16,0.32967032967032966,0.4493418669242845,2,1650000000,450000000,-0.186875699999999,-0.6111557,-1.0094929,0.213984189835829,3400.78949767074,110804683,East Asia & Pacific,Upper middle income,0,0,1,0,8.131762888846074,18.523279596727264,53,0.6409087280099744,1,12,59
44000-P126580,2020,0,-500000000,NA,0,0,44000,EN: World Bank,Multilateral,A02_sector,PH,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,20.5001222856322,1134,0,-2.220446049250313e-16,0.33471356309122857,0.4426060431347687,2,3250000000,1400000000,-0.2661611,-0.5392618,-0.9415427,0.374480808619051,3227.57910235199,112081264,East Asia & Pacific,Upper middle income,0,0,0,0,8.079487631282424,18.53473473758825,73,0.650701274355751,1,10,98
44000-P126580,2021,0,-500000000,NA,0,0,44000,EN: World Bank,Multilateral,A02_sector,PH,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,20.5001222856322,1134,0,-2.220446049250313e-16,0.37669130160609166,0.3885137334935082,2,4750000000,1082500000,-0.374633899999999,-0.5743865,-1.0935816,0.400624903864076,3484.38593882819,113100950,East Asia & Pacific,Upper middle income,0,0,0,0,8.156047106472293,18.543791340697403,59,0.6934502886604991,1,9,60
44000-P126580,2022,0,-500000000,NA,0,0,44000,EN: World Bank,Multilateral,A02_sector,PH,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,20.5001222856322,1134,0,-2.220446049250313e-16,0.3582257559071508,0.411874180380948,2,4750000000,720000000,-0.3442518,-0.5774689,-0.899042399999999,0.376911574705654,3548.06930572116,113964338,East Asia & Pacific,Upper middle income,0,0,1,0,8.17415887698197,18.551396132857555,62,0.6378585585115697,1,10,71
