donor_ref,year,net_degree,net_between,net_eigen,net_peers,net_peer_str
44000,2014,40,0.817440095789378,1,10,31
AU-5,2014,1,0,0.028106515716332922,3,3
CA-3,2014,2,0.025974025974025976,0.026262757434713475,2,2
DE-1,2014,1,0,0.002072531696267401,1,1
FI-3,2014,2,0.025974025974025976,0.03519816609590286,4,4
GB-GOV-1,2014,9,0.13907563728137895,0.14353953911564107,8,14
NO-BRC-971277882,2014,1,0,0.003222548040127216,1,1
XI-IATI-EC_INTPA,2014,1,0,0.002072531696267399,1,1
XI-IATI-EC_NEAR,2014,2,2.9515938606847696e-4,0.05332543858380181,2,3
XI-IATI-IADB,2014,13,0.288961038961039,0.09231522409609631,3,5
XM-DAC-46002,2014,13,0.09804884111104206,0.3219095562546914,6,16
XM-DAC-46004,2014,11,0.12085171606702709,0.1847692002620501,4,10
XM-DAC-6-4,2014,3,0.010720539428673398,0.06715823784984234,6,8
XM-DAC-7,2014,1,0,0.0329002039388411,3,3
44000,2015,49,0.7217810348079607,1,11,60
AU-5,2015,3,0.005835625198088278,0.04281604644290014,4,5
CA-3,2015,4,0.008756000326639327,0.0699787942465587,5,8
DE-1,2015,3,0.0017207961561502136,0.07276031454190658,5,9
FI-3,2015,1,0,0.0036811677173983494,2,2
GB-GOV-1,2015,6,0.04235150003880441,0.10306455544849259,7,13
NO-BRC-971277882,2015,1,0,1.0078946398028312e-17,0,0
XI-IATI-EC_INTPA,2015,7,0.024625384738484937,0.14502335322424914,7,16
XI-IATI-EC_NEAR,2015,6,0.0655264737256557,0.06423498611675217,4,6
XI-IATI-IADB,2015,17,0.1540045181618215,0.24241635849336085,3,16
XM-DAC-46002,2015,19,0.12519261125356657,0.3599512054665519,7,26
XM-DAC-46004,2015,16,0.1370588328102688,0.23007409941195073,5,14
XM-DAC-6-4,2015,9,0.09017593688992488,0.1187059094806174,9,16
XM-DAC-7,2015,1,0,0.016598998963072212,1,1
44000,2016,40,0.6207013125828162,1,11,41
AU-5,2016,3,0.005938986702780588,0.050732822544462694,4,6
CA-3,2016,3,0.004228310839257144,0.044556841896459726,4,5
DE-1,2016,1,0,0.023438068385345612,2,2
GB-GOV-1,2016,5,0.05474315845513256,0.04956553014254919,6,7
NO-BRC-971277882,2016,1,0,0.005334057618159121,2,2
XI-IATI-EC_INTPA,2016,14,0.18160345121059138,0.2140283778672266,10,20
XI-IATI-EC_NEAR,2016,9,0.08251100771431523,0.1343634269759888,4,9
XI-IATI-IADB,2016,11,0.09697908294030955,0.1582424645847414,3,8
XM-DAC-46002,2016,20,0.1977675163972028,0.382183252705801,7,23
XM-DAC-46004,2016,22,0.2561627399821143,0.3780132117902631,6,18
XM-DAC-6-4,2016,4,0.030499964311010725,0.05753767763598196,6,8
XM-DAC-7,2016,1,0,0.03230076473518679,3,3
